frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2012,agent_vinod
122,man,happy,2012,agent_vinod
85,man,neutral,2012,agent_vinod
62,woman,fear,2012,agent_vinod
60,man,angry,2012,agent_vinod
132,man,neutral,2012,agent_vinod
94,man,neutral,2012,agent_vinod
44,man,sad,2012,agent_vinod
131,woman,sad,2012,agent_vinod
131,man,neutral,2012,agent_vinod
128,woman,sad,2012,agent_vinod
86,man,happy,2012,agent_vinod
45,man,angry,2012,agent_vinod
55,man,neutral,2012,agent_vinod
107,man,angry,2012,agent_vinod
106,man,angry,2012,agent_vinod
90,man,neutral,2012,agent_vinod
53,man,neutral,2012,agent_vinod
63,man,sad,2012,agent_vinod
49,woman,happy,2012,agent_vinod
54,man,sad,2012,agent_vinod
109,man,angry,2012,agent_vinod
74,woman,sad,2012,agent_vinod
102,man,sad,2012,agent_vinod
129,man,neutral,2012,agent_vinod
66,woman,angry,2012,agent_vinod
84,man,angry,2012,agent_vinod
87,man,angry,2012,agent_vinod
82,man,sad,2012,agent_vinod
46,man,angry,2012,agent_vinod
50,man,angry,2012,agent_vinod
100,man,happy,2012,agent_vinod
47,man,happy,2012,agent_vinod
48,man,happy,2012,agent_vinod
95,man,sad,2012,agent_vinod
95,man,neutral,2012,agent_vinod
101,woman,happy,2012,agent_vinod
78,man,fear,2012,agent_vinod
64,man,neutral,2012,agent_vinod
130,man,neutral,2012,agent_vinod
75,man,angry,2012,agent_vinod
80,woman,surprise,2012,agent_vinod
