frame_number,man/woman,emotion,year,movie_name
93,woman,fear,2012,bhoot_returns
85,man,neutral,2012,bhoot_returns
88,woman,fear,2012,bhoot_returns
147,woman,sad,2012,bhoot_returns
107,woman,happy,2012,bhoot_returns
145,man,sad,2012,bhoot_returns
109,man,angry,2012,bhoot_returns
92,woman,happy,2012,bhoot_returns
129,woman,neutral,2012,bhoot_returns
84,man,neutral,2012,bhoot_returns
144,man,sad,2012,bhoot_returns
146,man,sad,2012,bhoot_returns
87,man,angry,2012,bhoot_returns
130,man,neutral,2012,bhoot_returns
