frame_number,man/woman,emotion,year,movie_name
51,man,neutral,2012,bittoo_boss
51,man,happy,2012,bittoo_boss
62,woman,happy,2012,bittoo_boss
111,man,neutral,2012,bittoo_boss
88,man,neutral,2012,bittoo_boss
30,man,happy,2012,bittoo_boss
19,woman,happy,2012,bittoo_boss
76,man,happy,2012,bittoo_boss
45,man,happy,2012,bittoo_boss
107,woman,fear,2012,bittoo_boss
106,woman,neutral,2012,bittoo_boss
52,man,sad,2012,bittoo_boss
38,man,angry,2012,bittoo_boss
53,man,happy,2012,bittoo_boss
49,woman,happy,2012,bittoo_boss
69,man,sad,2012,bittoo_boss
103,woman,neutral,2012,bittoo_boss
40,man,happy,2012,bittoo_boss
109,man,happy,2012,bittoo_boss
29,woman,sad,2012,bittoo_boss
110,man,fear,2012,bittoo_boss
37,man,happy,2012,bittoo_boss
46,man,happy,2012,bittoo_boss
41,woman,happy,2012,bittoo_boss
50,woman,neutral,2012,bittoo_boss
50,man,neutral,2012,bittoo_boss
32,woman,neutral,2012,bittoo_boss
32,woman,angry,2012,bittoo_boss
47,man,happy,2012,bittoo_boss
47,woman,sad,2012,bittoo_boss
64,man,sad,2012,bittoo_boss
112,man,happy,2012,bittoo_boss
18,man,happy,2012,bittoo_boss
80,man,happy,2012,bittoo_boss
