frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2012,cocktail
93,woman,fear,2012,cocktail
122,woman,surprise,2012,cocktail
111,man,neutral,2012,cocktail
111,woman,angry,2012,cocktail
94,woman,fear,2012,cocktail
58,woman,sad,2012,cocktail
44,man,angry,2012,cocktail
173,man,happy,2012,cocktail
131,man,sad,2012,cocktail
88,man,happy,2012,cocktail
128,man,happy,2012,cocktail
76,woman,sad,2012,cocktail
120,man,happy,2012,cocktail
140,woman,happy,2012,cocktail
149,man,neutral,2012,cocktail
86,man,sad,2012,cocktail
86,woman,neutral,2012,cocktail
45,woman,neutral,2012,cocktail
155,man,neutral,2012,cocktail
156,woman,neutral,2012,cocktail
91,woman,angry,2012,cocktail
91,man,happy,2012,cocktail
35,woman,neutral,2012,cocktail
36,man,happy,2012,cocktail
107,woman,disgust,2012,cocktail
107,man,fear,2012,cocktail
150,man,neutral,2012,cocktail
121,woman,fear,2012,cocktail
70,woman,happy,2012,cocktail
90,man,neutral,2012,cocktail
90,man,happy,2012,cocktail
38,man,neutral,2012,cocktail
145,woman,happy,2012,cocktail
142,woman,neutral,2012,cocktail
49,woman,neutral,2012,cocktail
171,man,sad,2012,cocktail
171,woman,sad,2012,cocktail
69,man,happy,2012,cocktail
67,man,sad,2012,cocktail
54,woman,happy,2012,cocktail
138,man,happy,2012,cocktail
89,man,angry,2012,cocktail
56,woman,neutral,2012,cocktail
33,man,angry,2012,cocktail
143,man,happy,2012,cocktail
143,man,sad,2012,cocktail
74,woman,neutral,2012,cocktail
92,man,angry,2012,cocktail
29,woman,neutral,2012,cocktail
129,man,neutral,2012,cocktail
151,man,sad,2012,cocktail
161,man,sad,2012,cocktail
77,woman,neutral,2012,cocktail
146,woman,happy,2012,cocktail
87,man,happy,2012,cocktail
87,man,sad,2012,cocktail
172,man,neutral,2012,cocktail
82,man,angry,2012,cocktail
46,woman,neutral,2012,cocktail
167,man,angry,2012,cocktail
166,man,angry,2012,cocktail
50,woman,neutral,2012,cocktail
113,man,happy,2012,cocktail
123,man,happy,2012,cocktail
148,woman,surprise,2012,cocktail
39,man,angry,2012,cocktail
127,man,angry,2012,cocktail
137,man,happy,2012,cocktail
48,woman,neutral,2012,cocktail
48,woman,fear,2012,cocktail
95,woman,happy,2012,cocktail
95,man,neutral,2012,cocktail
78,woman,sad,2012,cocktail
97,man,sad,2012,cocktail
34,man,happy,2012,cocktail
105,man,angry,2012,cocktail
43,woman,neutral,2012,cocktail
152,man,angry,2012,cocktail
124,man,neutral,2012,cocktail
130,man,sad,2012,cocktail
112,man,happy,2012,cocktail
75,woman,sad,2012,cocktail
31,man,angry,2012,cocktail
