frame_number,man/woman,emotion,year,movie_name
28,man,sad,2012,ek_tha_tiger
132,man,angry,2012,ek_tha_tiger
58,man,sad,2012,ek_tha_tiger
88,woman,sad,2012,ek_tha_tiger
147,man,angry,2012,ek_tha_tiger
71,woman,sad,2012,ek_tha_tiger
55,woman,sad,2012,ek_tha_tiger
35,man,sad,2012,ek_tha_tiger
59,man,sad,2012,ek_tha_tiger
150,man,sad,2012,ek_tha_tiger
121,man,angry,2012,ek_tha_tiger
121,woman,neutral,2012,ek_tha_tiger
90,woman,sad,2012,ek_tha_tiger
53,man,neutral,2012,ek_tha_tiger
67,woman,sad,2012,ek_tha_tiger
42,man,happy,2012,ek_tha_tiger
33,man,sad,2012,ek_tha_tiger
74,woman,happy,2012,ek_tha_tiger
29,man,sad,2012,ek_tha_tiger
151,man,sad,2012,ek_tha_tiger
66,woman,sad,2012,ek_tha_tiger
77,woman,sad,2012,ek_tha_tiger
77,woman,surprise,2012,ek_tha_tiger
46,man,sad,2012,ek_tha_tiger
65,woman,surprise,2012,ek_tha_tiger
50,man,neutral,2012,ek_tha_tiger
100,man,angry,2012,ek_tha_tiger
117,man,fear,2012,ek_tha_tiger
34,man,angry,2012,ek_tha_tiger
105,man,happy,2012,ek_tha_tiger
73,woman,sad,2012,ek_tha_tiger
73,man,happy,2012,ek_tha_tiger
57,woman,happy,2012,ek_tha_tiger
72,woman,sad,2012,ek_tha_tiger
72,man,angry,2012,ek_tha_tiger
75,man,sad,2012,ek_tha_tiger
