frame_number,man/woman,emotion,year,movie_name
28,man,happy,2012,fatso!
132,man,surprise,2012,fatso!
58,woman,neutral,2012,fatso!
58,man,neutral,2012,fatso!
131,man,happy,2012,fatso!
154,man,happy,2012,fatso!
154,man,neutral,2012,fatso!
30,man,happy,2012,fatso!
140,man,sad,2012,fatso!
55,woman,happy,2012,fatso!
91,man,neutral,2012,fatso!
59,woman,happy,2012,fatso!
90,man,angry,2012,fatso!
26,woman,sad,2012,fatso!
53,man,happy,2012,fatso!
53,man,happy,2012,fatso!
54,woman,angry,2012,fatso!
54,woman,happy,2012,fatso!
40,man,happy,2012,fatso!
56,woman,happy,2012,fatso!
33,man,sad,2012,fatso!
29,man,happy,2012,fatso!
136,woman,sad,2012,fatso!
77,man,sad,2012,fatso!
27,man,happy,2012,fatso!
82,man,angry,2012,fatso!
82,man,angry,2012,fatso!
81,man,sad,2012,fatso!
113,man,happy,2012,fatso!
148,man,angry,2012,fatso!
137,woman,angry,2012,fatso!
115,man,sad,2012,fatso!
78,man,angry,2012,fatso!
114,man,sad,2012,fatso!
22,man,happy,2012,fatso!
73,man,sad,2012,fatso!
130,man,happy,2012,fatso!
75,man,sad,2012,fatso!
80,man,sad,2012,fatso!
31,man,sad,2012,fatso!
