frame_number,man/woman,emotion,year,movie_name
122,man,happy,2012,ferrari_ki_sawaari
62,man,happy,2012,ferrari_ki_sawaari
60,man,happy,2012,ferrari_ki_sawaari
118,man,fear,2012,ferrari_ki_sawaari
58,woman,happy,2012,ferrari_ki_sawaari
61,man,happy,2012,ferrari_ki_sawaari
44,woman,fear,2012,ferrari_ki_sawaari
140,man,angry,2012,ferrari_ki_sawaari
140,man,neutral,2012,ferrari_ki_sawaari
45,man,fear,2012,ferrari_ki_sawaari
91,man,neutral,2012,ferrari_ki_sawaari
36,man,happy,2012,ferrari_ki_sawaari
52,man,happy,2012,ferrari_ki_sawaari
68,man,neutral,2012,ferrari_ki_sawaari
90,woman,sad,2012,ferrari_ki_sawaari
38,man,happy,2012,ferrari_ki_sawaari
53,man,happy,2012,ferrari_ki_sawaari
63,woman,happy,2012,ferrari_ki_sawaari
69,man,fear,2012,ferrari_ki_sawaari
42,woman,sad,2012,ferrari_ki_sawaari
54,man,happy,2012,ferrari_ki_sawaari
54,woman,happy,2012,ferrari_ki_sawaari
138,man,neutral,2012,ferrari_ki_sawaari
138,man,happy,2012,ferrari_ki_sawaari
89,man,neutral,2012,ferrari_ki_sawaari
37,man,happy,2012,ferrari_ki_sawaari
83,man,neutral,2012,ferrari_ki_sawaari
66,man,angry,2012,ferrari_ki_sawaari
84,man,neutral,2012,ferrari_ki_sawaari
50,man,happy,2012,ferrari_ki_sawaari
123,man,sad,2012,ferrari_ki_sawaari
39,man,sad,2012,ferrari_ki_sawaari
78,man,neutral,2012,ferrari_ki_sawaari
43,man,neutral,2012,ferrari_ki_sawaari
57,man,surprise,2012,ferrari_ki_sawaari
124,man,happy,2012,ferrari_ki_sawaari
79,man,fear,2012,ferrari_ki_sawaari
139,man,neutral,2012,ferrari_ki_sawaari
139,man,neutral,2012,ferrari_ki_sawaari
80,man,happy,2012,ferrari_ki_sawaari
