frame_number,man/woman,emotion,year,movie_name
93,woman,fear,2012,heroine
85,man,neutral,2012,heroine
51,man,happy,2012,heroine
98,woman,neutral,2012,heroine
62,woman,happy,2012,heroine
111,woman,sad,2012,heroine
111,woman,happy,2012,heroine
132,woman,neutral,2012,heroine
94,woman,angry,2012,heroine
44,woman,happy,2012,heroine
173,woman,happy,2012,heroine
173,man,sad,2012,heroine
173,man,sad,2012,heroine
131,man,happy,2012,heroine
96,man,fear,2012,heroine
88,woman,surprise,2012,heroine
128,woman,happy,2012,heroine
71,man,fear,2012,heroine
140,woman,sad,2012,heroine
156,woman,neutral,2012,heroine
91,woman,fear,2012,heroine
59,man,happy,2012,heroine
168,woman,happy,2012,heroine
168,man,happy,2012,heroine
150,man,sad,2012,heroine
68,woman,fear,2012,heroine
70,man,sad,2012,heroine
90,woman,surprise,2012,heroine
145,woman,sad,2012,heroine
142,woman,sad,2012,heroine
142,woman,sad,2012,heroine
63,man,happy,2012,heroine
49,man,neutral,2012,heroine
69,woman,neutral,2012,heroine
67,man,fear,2012,heroine
138,woman,happy,2012,heroine
89,woman,fear,2012,heroine
180,man,sad,2012,heroine
92,woman,fear,2012,heroine
129,man,fear,2012,heroine
164,man,happy,2012,heroine
83,man,sad,2012,heroine
66,woman,disgust,2012,heroine
77,woman,sad,2012,heroine
77,man,sad,2012,heroine
146,man,fear,2012,heroine
172,woman,fear,2012,heroine
172,woman,sad,2012,heroine
82,woman,neutral,2012,heroine
141,woman,sad,2012,heroine
141,woman,sad,2012,heroine
134,woman,sad,2012,heroine
81,woman,angry,2012,heroine
169,woman,angry,2012,heroine
100,woman,fear,2012,heroine
127,woman,sad,2012,heroine
157,man,neutral,2012,heroine
126,woman,surprise,2012,heroine
95,woman,fear,2012,heroine
101,woman,fear,2012,heroine
99,woman,fear,2012,heroine
78,man,happy,2012,heroine
78,woman,sad,2012,heroine
117,woman,happy,2012,heroine
97,woman,fear,2012,heroine
73,woman,neutral,2012,heroine
73,man,sad,2012,heroine
130,woman,neutral,2012,heroine
177,woman,sad,2012,heroine
79,woman,sad,2012,heroine
139,woman,sad,2012,heroine
