frame_number,man/woman,emotion,year,movie_name
36,man,sad,2012,ishaqzaade
68,man,angry,2012,ishaqzaade
70,man,angry,2012,ishaqzaade
90,man,neutral,2012,ishaqzaade
49,man,happy,2012,ishaqzaade
69,woman,fear,2012,ishaqzaade
42,man,happy,2012,ishaqzaade
42,man,angry,2012,ishaqzaade
40,man,happy,2012,ishaqzaade
56,woman,angry,2012,ishaqzaade
84,man,neutral,2012,ishaqzaade
46,woman,sad,2012,ishaqzaade
46,man,angry,2012,ishaqzaade
41,man,happy,2012,ishaqzaade
41,man,happy,2012,ishaqzaade
50,man,happy,2012,ishaqzaade
39,man,neutral,2012,ishaqzaade
97,man,neutral,2012,ishaqzaade
72,man,neutral,2012,ishaqzaade
