frame_number,man/woman,emotion,year,movie_name
28,woman,neutral,2012,jab_tak_hai_jaan
20,man,angry,2012,jab_tak_hai_jaan
107,man,sad,2012,jab_tak_hai_jaan
104,man,sad,2012,jab_tak_hai_jaan
49,man,sad,2012,jab_tak_hai_jaan
40,man,happy,2012,jab_tak_hai_jaan
110,man,angry,2012,jab_tak_hai_jaan
27,woman,sad,2012,jab_tak_hai_jaan
24,man,happy,2012,jab_tak_hai_jaan
65,woman,happy,2012,jab_tak_hai_jaan
65,woman,sad,2012,jab_tak_hai_jaan
50,man,sad,2012,jab_tak_hai_jaan
100,man,happy,2012,jab_tak_hai_jaan
100,man,sad,2012,jab_tak_hai_jaan
39,man,angry,2012,jab_tak_hai_jaan
48,man,sad,2012,jab_tak_hai_jaan
21,woman,angry,2012,jab_tak_hai_jaan
64,woman,fear,2012,jab_tak_hai_jaan
72,man,sad,2012,jab_tak_hai_jaan
23,man,happy,2012,jab_tak_hai_jaan
