frame_number,man/woman,emotion,year,movie_name
51,woman,angry,2012,kamaal_dhamaal_malamaal
111,man,happy,2012,kamaal_dhamaal_malamaal
111,man,angry,2012,kamaal_dhamaal_malamaal
44,man,sad,2012,kamaal_dhamaal_malamaal
120,woman,sad,2012,kamaal_dhamaal_malamaal
45,man,angry,2012,kamaal_dhamaal_malamaal
156,man,happy,2012,kamaal_dhamaal_malamaal
91,man,disgust,2012,kamaal_dhamaal_malamaal
104,man,sad,2012,kamaal_dhamaal_malamaal
121,man,sad,2012,kamaal_dhamaal_malamaal
90,woman,neutral,2012,kamaal_dhamaal_malamaal
26,man,sad,2012,kamaal_dhamaal_malamaal
49,man,happy,2012,kamaal_dhamaal_malamaal
165,man,angry,2012,kamaal_dhamaal_malamaal
69,man,happy,2012,kamaal_dhamaal_malamaal
42,man,angry,2012,kamaal_dhamaal_malamaal
40,man,happy,2012,kamaal_dhamaal_malamaal
116,man,angry,2012,kamaal_dhamaal_malamaal
135,man,angry,2012,kamaal_dhamaal_malamaal
92,man,happy,2012,kamaal_dhamaal_malamaal
133,man,angry,2012,kamaal_dhamaal_malamaal
77,woman,angry,2012,kamaal_dhamaal_malamaal
27,woman,happy,2012,kamaal_dhamaal_malamaal
27,man,angry,2012,kamaal_dhamaal_malamaal
141,man,sad,2012,kamaal_dhamaal_malamaal
46,man,sad,2012,kamaal_dhamaal_malamaal
41,woman,angry,2012,kamaal_dhamaal_malamaal
134,man,angry,2012,kamaal_dhamaal_malamaal
166,man,angry,2012,kamaal_dhamaal_malamaal
160,man,neutral,2012,kamaal_dhamaal_malamaal
81,man,fear,2012,kamaal_dhamaal_malamaal
119,woman,sad,2012,kamaal_dhamaal_malamaal
50,man,happy,2012,kamaal_dhamaal_malamaal
39,woman,angry,2012,kamaal_dhamaal_malamaal
157,man,neutral,2012,kamaal_dhamaal_malamaal
47,man,fear,2012,kamaal_dhamaal_malamaal
48,man,happy,2012,kamaal_dhamaal_malamaal
117,man,sad,2012,kamaal_dhamaal_malamaal
105,man,neutral,2012,kamaal_dhamaal_malamaal
43,woman,happy,2012,kamaal_dhamaal_malamaal
130,woman,happy,2012,kamaal_dhamaal_malamaal
23,man,happy,2012,kamaal_dhamaal_malamaal
23,man,happy,2012,kamaal_dhamaal_malamaal
25,man,happy,2012,kamaal_dhamaal_malamaal
