frame_number,man/woman,emotion,year,movie_name
85,man,happy,2012,khiladi_786
85,man,happy,2012,khiladi_786
62,man,sad,2012,khiladi_786
60,man,happy,2012,khiladi_786
111,woman,fear,2012,khiladi_786
111,woman,sad,2012,khiladi_786
58,man,happy,2012,khiladi_786
61,man,happy,2012,khiladi_786
44,woman,angry,2012,khiladi_786
71,man,happy,2012,khiladi_786
71,man,neutral,2012,khiladi_786
76,man,happy,2012,khiladi_786
108,man,angry,2012,khiladi_786
86,man,happy,2012,khiladi_786
86,man,angry,2012,khiladi_786
86,woman,sad,2012,khiladi_786
55,man,sad,2012,khiladi_786
35,woman,neutral,2012,khiladi_786
36,man,happy,2012,khiladi_786
59,man,happy,2012,khiladi_786
104,man,neutral,2012,khiladi_786
52,man,fear,2012,khiladi_786
70,man,happy,2012,khiladi_786
70,man,neutral,2012,khiladi_786
38,woman,neutral,2012,khiladi_786
53,man,sad,2012,khiladi_786
63,man,sad,2012,khiladi_786
49,woman,happy,2012,khiladi_786
69,man,angry,2012,khiladi_786
67,man,happy,2012,khiladi_786
103,man,happy,2012,khiladi_786
56,man,happy,2012,khiladi_786
109,man,angry,2012,khiladi_786
74,man,angry,2012,khiladi_786
29,man,disgust,2012,khiladi_786
110,man,happy,2012,khiladi_786
37,woman,angry,2012,khiladi_786
83,man,fear,2012,khiladi_786
83,man,happy,2012,khiladi_786
83,man,neutral,2012,khiladi_786
66,man,happy,2012,khiladi_786
66,man,neutral,2012,khiladi_786
84,man,happy,2012,khiladi_786
84,man,happy,2012,khiladi_786
84,man,happy,2012,khiladi_786
13,man,sad,2012,khiladi_786
87,man,happy,2012,khiladi_786
87,man,angry,2012,khiladi_786
87,man,angry,2012,khiladi_786
65,man,happy,2012,khiladi_786
160,woman,happy,2012,khiladi_786
50,woman,happy,2012,khiladi_786
113,man,neutral,2012,khiladi_786
113,man,fear,2012,khiladi_786
32,man,angry,2012,khiladi_786
47,woman,happy,2012,khiladi_786
48,woman,sad,2012,khiladi_786
78,man,angry,2012,khiladi_786
105,man,happy,2012,khiladi_786
43,man,happy,2012,khiladi_786
21,man,neutral,2012,khiladi_786
114,man,fear,2012,khiladi_786
73,man,surprise,2012,khiladi_786
152,woman,sad,2012,khiladi_786
57,man,happy,2012,khiladi_786
64,man,happy,2012,khiladi_786
112,woman,surprise,2012,khiladi_786
112,woman,fear,2012,khiladi_786
72,man,fear,2012,khiladi_786
72,man,neutral,2012,khiladi_786
79,man,happy,2012,khiladi_786
25,man,angry,2012,khiladi_786
80,man,neutral,2012,khiladi_786
