frame_number,man/woman,emotion,year,movie_name
93,man,angry,2012,kyaa_super_kool_hai_hum
93,woman,neutral,2012,kyaa_super_kool_hai_hum
93,woman,sad,2012,kyaa_super_kool_hai_hum
85,man,angry,2012,kyaa_super_kool_hai_hum
98,woman,neutral,2012,kyaa_super_kool_hai_hum
98,man,happy,2012,kyaa_super_kool_hai_hum
98,woman,sad,2012,kyaa_super_kool_hai_hum
60,man,happy,2012,kyaa_super_kool_hai_hum
111,man,sad,2012,kyaa_super_kool_hai_hum
111,man,neutral,2012,kyaa_super_kool_hai_hum
132,man,happy,2012,kyaa_super_kool_hai_hum
132,man,neutral,2012,kyaa_super_kool_hai_hum
94,man,angry,2012,kyaa_super_kool_hai_hum
94,man,sad,2012,kyaa_super_kool_hai_hum
94,woman,neutral,2012,kyaa_super_kool_hai_hum
131,man,happy,2012,kyaa_super_kool_hai_hum
96,woman,sad,2012,kyaa_super_kool_hai_hum
96,woman,sad,2012,kyaa_super_kool_hai_hum
96,man,angry,2012,kyaa_super_kool_hai_hum
88,woman,neutral,2012,kyaa_super_kool_hai_hum
88,man,sad,2012,kyaa_super_kool_hai_hum
88,woman,neutral,2012,kyaa_super_kool_hai_hum
128,man,neutral,2012,kyaa_super_kool_hai_hum
128,man,sad,2012,kyaa_super_kool_hai_hum
71,man,neutral,2012,kyaa_super_kool_hai_hum
30,man,happy,2012,kyaa_super_kool_hai_hum
30,man,angry,2012,kyaa_super_kool_hai_hum
76,man,happy,2012,kyaa_super_kool_hai_hum
86,man,angry,2012,kyaa_super_kool_hai_hum
91,man,sad,2012,kyaa_super_kool_hai_hum
91,woman,sad,2012,kyaa_super_kool_hai_hum
91,woman,sad,2012,kyaa_super_kool_hai_hum
59,man,neutral,2012,kyaa_super_kool_hai_hum
68,man,sad,2012,kyaa_super_kool_hai_hum
90,woman,sad,2012,kyaa_super_kool_hai_hum
90,man,angry,2012,kyaa_super_kool_hai_hum
90,woman,neutral,2012,kyaa_super_kool_hai_hum
38,man,neutral,2012,kyaa_super_kool_hai_hum
