frame_number,man/woman,emotion,year,movie_name
93,woman,neutral,2012,luv_shuv_tey_chicken_khurana
60,woman,angry,2012,luv_shuv_tey_chicken_khurana
132,man,angry,2012,luv_shuv_tey_chicken_khurana
58,man,happy,2012,luv_shuv_tey_chicken_khurana
58,man,happy,2012,luv_shuv_tey_chicken_khurana
131,man,sad,2012,luv_shuv_tey_chicken_khurana
96,man,happy,2012,luv_shuv_tey_chicken_khurana
96,woman,happy,2012,luv_shuv_tey_chicken_khurana
96,man,happy,2012,luv_shuv_tey_chicken_khurana
147,man,sad,2012,luv_shuv_tey_chicken_khurana
170,woman,sad,2012,luv_shuv_tey_chicken_khurana
170,man,angry,2012,luv_shuv_tey_chicken_khurana
108,man,neutral,2012,luv_shuv_tey_chicken_khurana
55,man,angry,2012,luv_shuv_tey_chicken_khurana
168,man,sad,2012,luv_shuv_tey_chicken_khurana
52,man,angry,2012,luv_shuv_tey_chicken_khurana
150,woman,neutral,2012,luv_shuv_tey_chicken_khurana
90,man,angry,2012,luv_shuv_tey_chicken_khurana
53,man,angry,2012,luv_shuv_tey_chicken_khurana
171,man,sad,2012,luv_shuv_tey_chicken_khurana
67,woman,sad,2012,luv_shuv_tey_chicken_khurana
89,man,sad,2012,luv_shuv_tey_chicken_khurana
116,man,sad,2012,luv_shuv_tey_chicken_khurana
102,man,sad,2012,luv_shuv_tey_chicken_khurana
110,woman,neutral,2012,luv_shuv_tey_chicken_khurana
83,man,happy,2012,luv_shuv_tey_chicken_khurana
66,woman,neutral,2012,luv_shuv_tey_chicken_khurana
82,man,sad,2012,luv_shuv_tey_chicken_khurana
65,woman,fear,2012,luv_shuv_tey_chicken_khurana
167,man,sad,2012,luv_shuv_tey_chicken_khurana
81,man,neutral,2012,luv_shuv_tey_chicken_khurana
169,man,sad,2012,luv_shuv_tey_chicken_khurana
169,man,sad,2012,luv_shuv_tey_chicken_khurana
113,man,neutral,2012,luv_shuv_tey_chicken_khurana
100,man,neutral,2012,luv_shuv_tey_chicken_khurana
127,woman,sad,2012,luv_shuv_tey_chicken_khurana
95,woman,sad,2012,luv_shuv_tey_chicken_khurana
78,woman,sad,2012,luv_shuv_tey_chicken_khurana
78,woman,angry,2012,luv_shuv_tey_chicken_khurana
130,man,sad,2012,luv_shuv_tey_chicken_khurana
112,man,sad,2012,luv_shuv_tey_chicken_khurana
72,man,happy,2012,luv_shuv_tey_chicken_khurana
72,man,angry,2012,luv_shuv_tey_chicken_khurana
75,man,surprise,2012,luv_shuv_tey_chicken_khurana
