frame_number,man/woman,emotion,year,movie_name
93,man,angry,2012,makkhi
14,man,sad,2012,makkhi
51,man,sad,2012,makkhi
11,man,happy,2012,makkhi
76,man,sad,2012,makkhi
35,woman,neutral,2012,makkhi
36,woman,neutral,2012,makkhi
106,woman,sad,2012,makkhi
52,man,happy,2012,makkhi
38,woman,happy,2012,makkhi
53,man,neutral,2012,makkhi
42,woman,sad,2012,makkhi
54,man,surprise,2012,makkhi
33,woman,sad,2012,makkhi
74,man,neutral,2012,makkhi
92,man,happy,2012,makkhi
110,man,sad,2012,makkhi
110,man,angry,2012,makkhi
37,woman,happy,2012,makkhi
13,woman,sad,2012,makkhi
46,man,neutral,2012,makkhi
50,man,angry,2012,makkhi
39,woman,surprise,2012,makkhi
48,man,neutral,2012,makkhi
34,woman,sad,2012,makkhi
34,man,happy,2012,makkhi
43,woman,sad,2012,makkhi
73,man,neutral,2012,makkhi
57,man,sad,2012,makkhi
23,man,sad,2012,makkhi
31,man,neutral,2012,makkhi
