frame_number,man/woman,emotion,year,movie_name
28,woman,sad,2012,rush
51,man,fear,2012,rush
98,man,neutral,2012,rush
60,man,happy,2012,rush
94,man,angry,2012,rush
58,man,neutral,2012,rush
44,man,sad,2012,rush
30,man,sad,2012,rush
76,woman,happy,2012,rush
108,woman,sad,2012,rush
45,man,fear,2012,rush
91,man,angry,2012,rush
35,woman,happy,2012,rush
36,woman,neutral,2012,rush
59,woman,happy,2012,rush
107,man,neutral,2012,rush
106,man,neutral,2012,rush
52,man,fear,2012,rush
68,man,angry,2012,rush
70,man,sad,2012,rush
38,man,neutral,2012,rush
26,woman,sad,2012,rush
67,man,happy,2012,rush
92,man,sad,2012,rush
110,man,angry,2012,rush
37,man,neutral,2012,rush
83,man,angry,2012,rush
77,man,happy,2012,rush
27,man,angry,2012,rush
82,man,neutral,2012,rush
24,man,sad,2012,rush
46,man,neutral,2012,rush
81,man,neutral,2012,rush
50,man,fear,2012,rush
113,man,neutral,2012,rush
100,man,happy,2012,rush
32,woman,sad,2012,rush
115,man,angry,2012,rush
95,woman,angry,2012,rush
101,man,neutral,2012,rush
99,man,sad,2012,rush
97,man,neutral,2012,rush
34,woman,angry,2012,rush
43,man,sad,2012,rush
21,woman,neutral,2012,rush
22,woman,neutral,2012,rush
23,man,sad,2012,rush
25,man,sad,2012,rush
80,man,sad,2012,rush
