frame_number,man/woman,emotion,year,movie_name
51,man,neutral,2012,say_yes_to_love
62,woman,happy,2012,say_yes_to_love
60,woman,happy,2012,say_yes_to_love
61,woman,happy,2012,say_yes_to_love
299,man,neutral,2012,say_yes_to_love
286,man,sad,2012,say_yes_to_love
68,man,sad,2012,say_yes_to_love
70,man,sad,2012,say_yes_to_love
53,man,neutral,2012,say_yes_to_love
69,man,sad,2012,say_yes_to_love
56,woman,happy,2012,say_yes_to_love
74,man,sad,2012,say_yes_to_love
77,man,sad,2012,say_yes_to_love
73,man,sad,2012,say_yes_to_love
57,man,happy,2012,say_yes_to_love
72,man,sad,2012,say_yes_to_love
