frame_number,man/woman,emotion,year,movie_name
93,man,sad,2012,talaash
85,woman,sad,2012,talaash
51,man,angry,2012,talaash
62,woman,sad,2012,talaash
60,man,fear,2012,talaash
58,woman,sad,2012,talaash
61,man,angry,2012,talaash
96,man,happy,2012,talaash
88,woman,happy,2012,talaash
76,man,fear,2012,talaash
86,woman,sad,2012,talaash
55,man,sad,2012,talaash
59,man,angry,2012,talaash
104,man,angry,2012,talaash
52,man,angry,2012,talaash
49,woman,neutral,2012,talaash
49,woman,neutral,2012,talaash
138,woman,neutral,2012,talaash
74,man,sad,2012,talaash
92,man,neutral,2012,talaash
83,man,sad,2012,talaash
84,woman,sad,2012,talaash
82,man,sad,2012,talaash
134,man,angry,2012,talaash
126,man,angry,2012,talaash
95,man,neutral,2012,talaash
99,man,angry,2012,talaash
97,man,happy,2012,talaash
73,man,sad,2012,talaash
57,man,angry,2012,talaash
130,man,neutral,2012,talaash
