frame_number,man/woman,emotion,year,movie_name
122,woman,sad,2012,tere_naal_love_ho_gaya
118,man,sad,2012,tere_naal_love_ho_gaya
111,man,happy,2012,tere_naal_love_ho_gaya
125,man,happy,2012,tere_naal_love_ho_gaya
125,man,angry,2012,tere_naal_love_ho_gaya
125,man,fear,2012,tere_naal_love_ho_gaya
76,man,happy,2012,tere_naal_love_ho_gaya
45,woman,surprise,2012,tere_naal_love_ho_gaya
52,woman,neutral,2012,tere_naal_love_ho_gaya
38,man,angry,2012,tere_naal_love_ho_gaya
67,woman,angry,2012,tere_naal_love_ho_gaya
40,man,happy,2012,tere_naal_love_ho_gaya
135,man,sad,2012,tere_naal_love_ho_gaya
33,man,fear,2012,tere_naal_love_ho_gaya
143,man,neutral,2012,tere_naal_love_ho_gaya
84,woman,sad,2012,tere_naal_love_ho_gaya
77,man,happy,2012,tere_naal_love_ho_gaya
87,woman,sad,2012,tere_naal_love_ho_gaya
50,man,angry,2012,tere_naal_love_ho_gaya
39,woman,happy,2012,tere_naal_love_ho_gaya
39,man,angry,2012,tere_naal_love_ho_gaya
39,woman,happy,2012,tere_naal_love_ho_gaya
32,man,angry,2012,tere_naal_love_ho_gaya
