frame_number,man/woman,emotion,year,movie_name
20,woman,sad,2012,valentine's_night
55,man,fear,2012,valentine's_night
90,man,sad,2012,valentine's_night
40,man,surprise,2012,valentine's_night
40,man,angry,2012,valentine's_night
40,man,angry,2012,valentine's_night
84,man,angry,2012,valentine's_night
65,woman,surprise,2012,valentine's_night
41,man,surprise,2012,valentine's_night
41,man,neutral,2012,valentine's_night
41,woman,sad,2012,valentine's_night
39,woman,fear,2012,valentine's_night
39,man,angry,2012,valentine's_night
39,woman,sad,2012,valentine's_night
25,woman,sad,2012,valentine's_night
