frame_number,man/woman,emotion,year,movie_name
98,woman,sad,2012,vicky_donor
98,man,happy,2012,vicky_donor
62,man,happy,2012,vicky_donor
60,man,angry,2012,vicky_donor
111,woman,happy,2012,vicky_donor
132,man,sad,2012,vicky_donor
58,man,neutral,2012,vicky_donor
58,woman,happy,2012,vicky_donor
61,man,happy,2012,vicky_donor
44,man,neutral,2012,vicky_donor
131,man,angry,2012,vicky_donor
96,woman,happy,2012,vicky_donor
128,man,neutral,2012,vicky_donor
71,man,angry,2012,vicky_donor
45,man,neutral,2012,vicky_donor
55,woman,happy,2012,vicky_donor
55,man,angry,2012,vicky_donor
156,man,happy,2012,vicky_donor
59,man,sad,2012,vicky_donor
104,man,angry,2012,vicky_donor
162,man,angry,2012,vicky_donor
176,man,angry,2012,vicky_donor
53,man,neutral,2012,vicky_donor
53,man,happy,2012,vicky_donor
145,man,happy,2012,vicky_donor
63,man,happy,2012,vicky_donor
49,man,neutral,2012,vicky_donor
103,man,neutral,2012,vicky_donor
54,man,neutral,2012,vicky_donor
54,woman,happy,2012,vicky_donor
138,man,happy,2012,vicky_donor
89,woman,happy,2012,vicky_donor
135,man,happy,2012,vicky_donor
143,man,happy,2012,vicky_donor
178,man,angry,2012,vicky_donor
175,man,surprise,2012,vicky_donor
110,man,happy,2012,vicky_donor
129,man,angry,2012,vicky_donor
151,man,happy,2012,vicky_donor
83,man,disgust,2012,vicky_donor
161,man,fear,2012,vicky_donor
84,man,happy,2012,vicky_donor
144,man,fear,2012,vicky_donor
133,man,angry,2012,vicky_donor
77,man,happy,2012,vicky_donor
141,woman,neutral,2012,vicky_donor
46,man,neutral,2012,vicky_donor
166,man,surprise,2012,vicky_donor
100,woman,happy,2012,vicky_donor
127,man,neutral,2012,vicky_donor
47,man,neutral,2012,vicky_donor
48,man,neutral,2012,vicky_donor
115,woman,sad,2012,vicky_donor
126,man,angry,2012,vicky_donor
99,man,happy,2012,vicky_donor
97,woman,disgust,2012,vicky_donor
105,woman,happy,2012,vicky_donor
114,man,neutral,2012,vicky_donor
73,man,sad,2012,vicky_donor
57,man,neutral,2012,vicky_donor
57,woman,happy,2012,vicky_donor
64,man,happy,2012,vicky_donor
130,man,angry,2012,vicky_donor
177,man,angry,2012,vicky_donor
