frame_number,man/woman,emotion,year,movie_name
28,man,happy,2013,aashiqui_2
118,woman,neutral,2013,aashiqui_2
132,woman,sad,2013,aashiqui_2
61,man,neutral,2013,aashiqui_2
44,man,neutral,2013,aashiqui_2
131,woman,sad,2013,aashiqui_2
96,man,sad,2013,aashiqui_2
20,woman,sad,2013,aashiqui_2
71,woman,neutral,2013,aashiqui_2
71,man,sad,2013,aashiqui_2
45,man,sad,2013,aashiqui_2
55,man,sad,2013,aashiqui_2
91,man,neutral,2013,aashiqui_2
35,woman,fear,2013,aashiqui_2
36,woman,neutral,2013,aashiqui_2
121,man,sad,2013,aashiqui_2
70,woman,sad,2013,aashiqui_2
90,woman,happy,2013,aashiqui_2
38,man,happy,2013,aashiqui_2
54,man,neutral,2013,aashiqui_2
40,man,happy,2013,aashiqui_2
33,woman,sad,2013,aashiqui_2
92,man,neutral,2013,aashiqui_2
29,woman,happy,2013,aashiqui_2
37,woman,neutral,2013,aashiqui_2
66,man,neutral,2013,aashiqui_2
133,woman,neutral,2013,aashiqui_2
82,man,sad,2013,aashiqui_2
46,woman,neutral,2013,aashiqui_2
65,woman,neutral,2013,aashiqui_2
41,man,happy,2013,aashiqui_2
134,woman,neutral,2013,aashiqui_2
113,woman,angry,2013,aashiqui_2
100,man,sad,2013,aashiqui_2
39,woman,happy,2013,aashiqui_2
32,man,neutral,2013,aashiqui_2
34,woman,happy,2013,aashiqui_2
72,woman,neutral,2013,aashiqui_2
72,man,fear,2013,aashiqui_2
31,woman,neutral,2013,aashiqui_2
31,man,happy,2013,aashiqui_2
