frame_number,man/woman,emotion,year,movie_name
85,man,happy,2013,aurangzeb
98,man,sad,2013,aurangzeb
94,man,sad,2013,aurangzeb
44,man,sad,2013,aurangzeb
19,man,sad,2013,aurangzeb
55,man,happy,2013,aurangzeb
52,man,sad,2013,aurangzeb
70,man,sad,2013,aurangzeb
26,man,happy,2013,aurangzeb
63,man,happy,2013,aurangzeb
49,man,happy,2013,aurangzeb
135,man,angry,2013,aurangzeb
56,man,neutral,2013,aurangzeb
84,man,sad,2013,aurangzeb
77,woman,neutral,2013,aurangzeb
82,man,neutral,2013,aurangzeb
82,man,neutral,2013,aurangzeb
46,man,angry,2013,aurangzeb
50,man,happy,2013,aurangzeb
113,man,neutral,2013,aurangzeb
126,man,sad,2013,aurangzeb
95,woman,happy,2013,aurangzeb
99,man,sad,2013,aurangzeb
21,man,angry,2013,aurangzeb
114,man,sad,2013,aurangzeb
64,man,neutral,2013,aurangzeb
72,man,sad,2013,aurangzeb
25,man,angry,2013,aurangzeb
