frame_number,man/woman,emotion,year,movie_name
58,man,angry,2013,bombay_talkies
11,man,neutral,2013,bombay_talkies
20,man,neutral,2013,bombay_talkies
108,woman,happy,2013,bombay_talkies
55,man,angry,2013,bombay_talkies
107,man,happy,2013,bombay_talkies
68,man,neutral,2013,bombay_talkies
12,man,neutral,2013,bombay_talkies
8,woman,happy,2013,bombay_talkies
69,man,happy,2013,bombay_talkies
54,man,happy,2013,bombay_talkies
33,woman,sad,2013,bombay_talkies
7,woman,sad,2013,bombay_talkies
65,man,neutral,2013,bombay_talkies
65,woman,neutral,2013,bombay_talkies
95,woman,sad,2013,bombay_talkies
78,man,neutral,2013,bombay_talkies
97,man,sad,2013,bombay_talkies
34,woman,angry,2013,bombay_talkies
22,man,happy,2013,bombay_talkies
75,man,sad,2013,bombay_talkies
