frame_number,man/woman,emotion,year,movie_name
28,man,neutral,2013,boyss_toh_boyss_hai
28,man,happy,2013,boyss_toh_boyss_hai
60,man,neutral,2013,boyss_toh_boyss_hai
44,man,happy,2013,boyss_toh_boyss_hai
20,woman,happy,2013,boyss_toh_boyss_hai
35,woman,sad,2013,boyss_toh_boyss_hai
59,man,neutral,2013,boyss_toh_boyss_hai
121,woman,neutral,2013,boyss_toh_boyss_hai
53,man,happy,2013,boyss_toh_boyss_hai
103,man,angry,2013,boyss_toh_boyss_hai
54,man,neutral,2013,boyss_toh_boyss_hai
33,man,angry,2013,boyss_toh_boyss_hai
66,man,sad,2013,boyss_toh_boyss_hai
66,man,neutral,2013,boyss_toh_boyss_hai
17,man,neutral,2013,boyss_toh_boyss_hai
50,man,happy,2013,boyss_toh_boyss_hai
117,man,happy,2013,boyss_toh_boyss_hai
97,woman,surprise,2013,boyss_toh_boyss_hai
43,man,happy,2013,boyss_toh_boyss_hai
21,man,sad,2013,boyss_toh_boyss_hai
22,woman,happy,2013,boyss_toh_boyss_hai
75,man,angry,2013,boyss_toh_boyss_hai
75,woman,sad,2013,boyss_toh_boyss_hai
