frame_number,man/woman,emotion,year,movie_name
62,woman,surprise,2013,chashme_baddoor
131,man,happy,2013,chashme_baddoor
154,man,neutral,2013,chashme_baddoor
154,woman,sad,2013,chashme_baddoor
154,man,neutral,2013,chashme_baddoor
20,woman,neutral,2013,chashme_baddoor
71,man,sad,2013,chashme_baddoor
19,man,angry,2013,chashme_baddoor
163,woman,happy,2013,chashme_baddoor
163,man,neutral,2013,chashme_baddoor
140,man,angry,2013,chashme_baddoor
140,man,happy,2013,chashme_baddoor
55,woman,happy,2013,chashme_baddoor
155,man,sad,2013,chashme_baddoor
155,man,surprise,2013,chashme_baddoor
155,woman,fear,2013,chashme_baddoor
162,woman,happy,2013,chashme_baddoor
162,man,neutral,2013,chashme_baddoor
106,man,sad,2013,chashme_baddoor
68,woman,happy,2013,chashme_baddoor
142,man,happy,2013,chashme_baddoor
142,man,happy,2013,chashme_baddoor
142,man,angry,2013,chashme_baddoor
8,man,sad,2013,chashme_baddoor
63,woman,sad,2013,chashme_baddoor
165,woman,happy,2013,chashme_baddoor
165,man,neutral,2013,chashme_baddoor
165,man,sad,2013,chashme_baddoor
67,woman,happy,2013,chashme_baddoor
109,man,happy,2013,chashme_baddoor
74,woman,fear,2013,chashme_baddoor
164,woman,happy,2013,chashme_baddoor
164,man,neutral,2013,chashme_baddoor
161,woman,happy,2013,chashme_baddoor
161,man,neutral,2013,chashme_baddoor
161,man,sad,2013,chashme_baddoor
66,man,neutral,2013,chashme_baddoor
84,man,happy,2013,chashme_baddoor
13,woman,happy,2013,chashme_baddoor
17,woman,neutral,2013,chashme_baddoor
17,man,sad,2013,chashme_baddoor
117,man,sad,2013,chashme_baddoor
105,man,neutral,2013,chashme_baddoor
105,man,happy,2013,chashme_baddoor
22,woman,fear,2013,chashme_baddoor
6,man,neutral,2013,chashme_baddoor
73,woman,sad,2013,chashme_baddoor
130,man,happy,2013,chashme_baddoor
5,woman,happy,2013,chashme_baddoor
72,man,fear,2013,chashme_baddoor
79,man,happy,2013,chashme_baddoor
23,man,sad,2013,chashme_baddoor
23,woman,sad,2013,chashme_baddoor
18,woman,neutral,2013,chashme_baddoor
