frame_number,man/woman,emotion,year,movie_name
51,woman,neutral,2013,d_day
58,woman,neutral,2013,d_day
96,man,sad,2013,d_day
20,man,sad,2013,d_day
71,man,sad,2013,d_day
30,man,happy,2013,d_day
30,woman,surprise,2013,d_day
19,man,neutral,2013,d_day
108,woman,sad,2013,d_day
35,man,neutral,2013,d_day
36,man,sad,2013,d_day
107,man,neutral,2013,d_day
104,man,neutral,2013,d_day
106,man,happy,2013,d_day
70,man,sad,2013,d_day
38,man,sad,2013,d_day
69,man,fear,2013,d_day
74,man,angry,2013,d_day
29,woman,happy,2013,d_day
83,man,sad,2013,d_day
83,man,angry,2013,d_day
83,man,angry,2013,d_day
66,man,sad,2013,d_day
87,man,neutral,2013,d_day
82,woman,neutral,2013,d_day
17,man,angry,2013,d_day
123,man,angry,2013,d_day
39,man,neutral,2013,d_day
99,man,angry,2013,d_day
105,man,neutral,2013,d_day
57,man,angry,2013,d_day
64,man,sad,2013,d_day
130,man,sad,2013,d_day
112,man,sad,2013,d_day
112,man,sad,2013,d_day
18,man,neutral,2013,d_day
31,man,sad,2013,d_day
