frame_number,man/woman,emotion,year,movie_name
28,man,angry,2013,david
51,woman,sad,2013,david
51,man,sad,2013,david
51,man,sad,2013,david
51,man,sad,2013,david
118,man,angry,2013,david
131,woman,disgust,2013,david
96,man,angry,2013,david
125,man,sad,2013,david
55,man,happy,2013,david
59,man,neutral,2013,david
106,man,sad,2013,david
53,man,neutral,2013,david
49,man,sad,2013,david
109,man,neutral,2013,david
29,man,neutral,2013,david
37,man,neutral,2013,david
37,man,neutral,2013,david
151,man,sad,2013,david
133,man,sad,2013,david
133,man,sad,2013,david
146,man,angry,2013,david
41,man,happy,2013,david
39,man,neutral,2013,david
101,man,sad,2013,david
78,woman,angry,2013,david
105,man,sad,2013,david
43,man,neutral,2013,david
64,man,angry,2013,david
