frame_number,man/woman,emotion,year,movie_name
85,woman,neutral,2013,fukrey
28,man,happy,2013,fukrey
28,man,happy,2013,fukrey
51,woman,neutral,2013,fukrey
60,woman,happy,2013,fukrey
44,man,angry,2013,fukrey
125,man,happy,2013,fukrey
76,woman,happy,2013,fukrey
36,man,happy,2013,fukrey
59,woman,happy,2013,fukrey
52,man,fear,2013,fukrey
68,woman,fear,2013,fukrey
53,man,angry,2013,fukrey
53,woman,neutral,2013,fukrey
63,man,surprise,2013,fukrey
69,man,neutral,2013,fukrey
54,man,neutral,2013,fukrey
83,woman,sad,2013,fukrey
27,man,neutral,2013,fukrey
82,woman,neutral,2013,fukrey
46,man,angry,2013,fukrey
65,woman,neutral,2013,fukrey
81,woman,neutral,2013,fukrey
22,man,neutral,2013,fukrey
22,man,neutral,2013,fukrey
57,woman,neutral,2013,fukrey
57,man,sad,2013,fukrey
64,man,sad,2013,fukrey
23,man,neutral,2013,fukrey
23,man,neutral,2013,fukrey
80,woman,neutral,2013,fukrey
