frame_number,man/woman,emotion,year,movie_name
122,woman,sad,2013,ghanchakkar
85,man,happy,2013,ghanchakkar
118,man,happy,2013,ghanchakkar
58,man,sad,2013,ghanchakkar
61,man,happy,2013,ghanchakkar
147,woman,happy,2013,ghanchakkar
154,man,angry,2013,ghanchakkar
128,man,neutral,2013,ghanchakkar
20,man,angry,2013,ghanchakkar
30,man,sad,2013,ghanchakkar
19,man,sad,2013,ghanchakkar
120,man,neutral,2013,ghanchakkar
86,man,angry,2013,ghanchakkar
86,woman,neutral,2013,ghanchakkar
55,man,sad,2013,ghanchakkar
155,man,angry,2013,ghanchakkar
91,woman,happy,2013,ghanchakkar
35,woman,happy,2013,ghanchakkar
36,man,angry,2013,ghanchakkar
162,woman,angry,2013,ghanchakkar
121,man,neutral,2013,ghanchakkar
90,woman,neutral,2013,ghanchakkar
142,man,sad,2013,ghanchakkar
49,man,happy,2013,ghanchakkar
69,man,angry,2013,ghanchakkar
42,man,angry,2013,ghanchakkar
54,man,happy,2013,ghanchakkar
89,man,sad,2013,ghanchakkar
116,woman,fear,2013,ghanchakkar
135,man,sad,2013,ghanchakkar
33,man,happy,2013,ghanchakkar
33,man,neutral,2013,ghanchakkar
33,man,angry,2013,ghanchakkar
143,man,sad,2013,ghanchakkar
109,man,angry,2013,ghanchakkar
29,man,sad,2013,ghanchakkar
110,man,angry,2013,ghanchakkar
37,man,angry,2013,ghanchakkar
151,woman,sad,2013,ghanchakkar
83,man,neutral,2013,ghanchakkar
83,man,happy,2013,ghanchakkar
161,man,angry,2013,ghanchakkar
161,man,angry,2013,ghanchakkar
66,man,sad,2013,ghanchakkar
84,man,sad,2013,ghanchakkar
82,man,sad,2013,ghanchakkar
24,man,angry,2013,ghanchakkar
153,man,fear,2013,ghanchakkar
81,man,sad,2013,ghanchakkar
81,man,sad,2013,ghanchakkar
119,woman,neutral,2013,ghanchakkar
113,man,sad,2013,ghanchakkar
32,man,happy,2013,ghanchakkar
32,man,sad,2013,ghanchakkar
32,man,surprise,2013,ghanchakkar
115,woman,angry,2013,ghanchakkar
159,man,happy,2013,ghanchakkar
78,man,surprise,2013,ghanchakkar
117,man,angry,2013,ghanchakkar
97,man,angry,2013,ghanchakkar
34,man,neutral,2013,ghanchakkar
34,man,happy,2013,ghanchakkar
34,man,angry,2013,ghanchakkar
21,man,neutral,2013,ghanchakkar
114,man,sad,2013,ghanchakkar
152,woman,sad,2013,ghanchakkar
64,man,neutral,2013,ghanchakkar
72,man,surprise,2013,ghanchakkar
79,man,sad,2013,ghanchakkar
79,man,neutral,2013,ghanchakkar
75,man,sad,2013,ghanchakkar
25,man,angry,2013,ghanchakkar
80,man,sad,2013,ghanchakkar
80,man,sad,2013,ghanchakkar
31,man,sad,2013,ghanchakkar
