frame_number,man/woman,emotion,year,movie_name
122,man,sad,2013,himmatwala
85,man,fear,2013,himmatwala
85,man,angry,2013,himmatwala
28,man,angry,2013,himmatwala
111,man,happy,2013,himmatwala
58,man,angry,2013,himmatwala
128,man,angry,2013,himmatwala
15,man,sad,2013,himmatwala
125,man,angry,2013,himmatwala
76,woman,sad,2013,himmatwala
120,man,angry,2013,himmatwala
91,woman,neutral,2013,himmatwala
104,man,happy,2013,himmatwala
106,woman,fear,2013,himmatwala
106,man,angry,2013,himmatwala
26,man,angry,2013,himmatwala
89,man,angry,2013,himmatwala
74,man,disgust,2013,himmatwala
7,man,neutral,2013,himmatwala
77,man,angry,2013,himmatwala
27,man,angry,2013,himmatwala
65,man,happy,2013,himmatwala
50,man,happy,2013,himmatwala
50,woman,fear,2013,himmatwala
78,man,neutral,2013,himmatwala
124,man,neutral,2013,himmatwala
64,man,happy,2013,himmatwala
79,man,sad,2013,himmatwala
