frame_number,man/woman,emotion,year,movie_name
85,man,neutral,2013,ishkq_in_paris
60,man,fear,2013,ishkq_in_paris
60,man,sad,2013,ishkq_in_paris
111,man,neutral,2013,ishkq_in_paris
96,woman,angry,2013,ishkq_in_paris
147,man,angry,2013,ishkq_in_paris
128,man,neutral,2013,ishkq_in_paris
20,man,happy,2013,ishkq_in_paris
71,woman,sad,2013,ishkq_in_paris
15,woman,happy,2013,ishkq_in_paris
86,man,happy,2013,ishkq_in_paris
86,man,sad,2013,ishkq_in_paris
55,woman,fear,2013,ishkq_in_paris
156,man,happy,2013,ishkq_in_paris
59,woman,neutral,2013,ishkq_in_paris
59,woman,angry,2013,ishkq_in_paris
90,woman,fear,2013,ishkq_in_paris
38,woman,happy,2013,ishkq_in_paris
38,man,neutral,2013,ishkq_in_paris
145,woman,sad,2013,ishkq_in_paris
56,woman,neutral,2013,ishkq_in_paris
33,man,neutral,2013,ishkq_in_paris
143,man,fear,2013,ishkq_in_paris
109,man,disgust,2013,ishkq_in_paris
74,woman,happy,2013,ishkq_in_paris
92,man,fear,2013,ishkq_in_paris
92,man,happy,2013,ishkq_in_paris
110,woman,fear,2013,ishkq_in_paris
129,woman,fear,2013,ishkq_in_paris
37,man,sad,2013,ishkq_in_paris
37,man,neutral,2013,ishkq_in_paris
164,man,neutral,2013,ishkq_in_paris
83,man,happy,2013,ishkq_in_paris
84,man,happy,2013,ishkq_in_paris
84,woman,happy,2013,ishkq_in_paris
133,man,neutral,2013,ishkq_in_paris
87,man,happy,2013,ishkq_in_paris
87,woman,surprise,2013,ishkq_in_paris
46,woman,sad,2013,ishkq_in_paris
46,woman,sad,2013,ishkq_in_paris
81,woman,neutral,2013,ishkq_in_paris
119,man,angry,2013,ishkq_in_paris
123,man,sad,2013,ishkq_in_paris
39,woman,sad,2013,ishkq_in_paris
157,man,happy,2013,ishkq_in_paris
48,man,neutral,2013,ishkq_in_paris
34,man,sad,2013,ishkq_in_paris
34,woman,sad,2013,ishkq_in_paris
73,man,happy,2013,ishkq_in_paris
57,woman,neutral,2013,ishkq_in_paris
124,woman,surprise,2013,ishkq_in_paris
72,man,angry,2013,ishkq_in_paris
75,woman,happy,2013,ishkq_in_paris
31,man,fear,2013,ishkq_in_paris
