frame_number,man/woman,emotion,year,movie_name
51,man,sad,2013,listen_amaya
60,man,sad,2013,listen_amaya
58,man,happy,2013,listen_amaya
44,man,angry,2013,listen_amaya
11,woman,happy,2013,listen_amaya
20,man,happy,2013,listen_amaya
30,man,sad,2013,listen_amaya
55,man,happy,2013,listen_amaya
35,man,angry,2013,listen_amaya
53,man,sad,2013,listen_amaya
63,woman,fear,2013,listen_amaya
49,man,sad,2013,listen_amaya
67,man,angry,2013,listen_amaya
54,man,sad,2013,listen_amaya
40,man,neutral,2013,listen_amaya
33,man,neutral,2013,listen_amaya
74,man,angry,2013,listen_amaya
29,man,sad,2013,listen_amaya
37,man,sad,2013,listen_amaya
37,man,sad,2013,listen_amaya
77,woman,sad,2013,listen_amaya
82,woman,fear,2013,listen_amaya
24,man,neutral,2013,listen_amaya
46,man,sad,2013,listen_amaya
16,woman,neutral,2013,listen_amaya
41,man,fear,2013,listen_amaya
81,woman,angry,2013,listen_amaya
50,man,sad,2013,listen_amaya
9,woman,sad,2013,listen_amaya
47,man,fear,2013,listen_amaya
78,woman,sad,2013,listen_amaya
34,man,fear,2013,listen_amaya
21,woman,happy,2013,listen_amaya
73,man,happy,2013,listen_amaya
79,man,sad,2013,listen_amaya
18,man,surprise,2013,listen_amaya
25,man,fear,2013,listen_amaya
80,woman,happy,2013,listen_amaya
31,man,neutral,2013,listen_amaya
