frame_number,man/woman,emotion,year,movie_name
14,man,neutral,2013,luv_u_soniyo
51,woman,happy,2013,luv_u_soniyo
20,man,surprise,2013,luv_u_soniyo
20,man,neutral,2013,luv_u_soniyo
71,man,happy,2013,luv_u_soniyo
30,woman,happy,2013,luv_u_soniyo
30,woman,happy,2013,luv_u_soniyo
30,woman,sad,2013,luv_u_soniyo
15,man,neutral,2013,luv_u_soniyo
15,woman,sad,2013,luv_u_soniyo
19,man,sad,2013,luv_u_soniyo
19,man,happy,2013,luv_u_soniyo
45,man,happy,2013,luv_u_soniyo
35,man,neutral,2013,luv_u_soniyo
36,woman,happy,2013,luv_u_soniyo
68,man,fear,2013,luv_u_soniyo
70,man,angry,2013,luv_u_soniyo
38,man,angry,2013,luv_u_soniyo
26,woman,fear,2013,luv_u_soniyo
53,woman,happy,2013,luv_u_soniyo
69,woman,angry,2013,luv_u_soniyo
67,man,fear,2013,luv_u_soniyo
54,woman,sad,2013,luv_u_soniyo
89,woman,happy,2013,luv_u_soniyo
33,woman,happy,2013,luv_u_soniyo
29,man,neutral,2013,luv_u_soniyo
29,woman,happy,2013,luv_u_soniyo
29,man,angry,2013,luv_u_soniyo
37,woman,neutral,2013,luv_u_soniyo
83,man,neutral,2013,luv_u_soniyo
13,man,neutral,2013,luv_u_soniyo
1,man,angry,2013,luv_u_soniyo
1,man,sad,2013,luv_u_soniyo
1,woman,angry,2013,luv_u_soniyo
1,man,fear,2013,luv_u_soniyo
7,woman,neutral,2013,luv_u_soniyo
7,woman,happy,2013,luv_u_soniyo
7,man,neutral,2013,luv_u_soniyo
7,woman,neutral,2013,luv_u_soniyo
27,woman,neutral,2013,luv_u_soniyo
46,man,angry,2013,luv_u_soniyo
16,man,angry,2013,luv_u_soniyo
17,woman,angry,2013,luv_u_soniyo
10,woman,happy,2013,luv_u_soniyo
10,woman,happy,2013,luv_u_soniyo
39,man,happy,2013,luv_u_soniyo
34,man,happy,2013,luv_u_soniyo
21,woman,neutral,2013,luv_u_soniyo
6,man,angry,2013,luv_u_soniyo
6,man,neutral,2013,luv_u_soniyo
6,man,neutral,2013,luv_u_soniyo
6,man,neutral,2013,luv_u_soniyo
5,man,angry,2013,luv_u_soniyo
72,man,disgust,2013,luv_u_soniyo
