frame_number,man/woman,emotion,year,movie_name
4,man,neutral,2013,maazii
19,man,happy,2013,maazii
45,man,happy,2013,maazii
68,woman,angry,2013,maazii
26,man,angry,2013,maazii
69,woman,angry,2013,maazii
67,man,neutral,2013,maazii
42,man,sad,2013,maazii
40,man,angry,2013,maazii
33,man,sad,2013,maazii
13,woman,fear,2013,maazii
13,man,sad,2013,maazii
77,woman,neutral,2013,maazii
27,man,sad,2013,maazii
27,man,angry,2013,maazii
41,man,sad,2013,maazii
50,man,neutral,2013,maazii
39,man,angry,2013,maazii
32,man,angry,2013,maazii
48,man,sad,2013,maazii
73,woman,sad,2013,maazii
72,man,sad,2013,maazii
25,woman,sad,2013,maazii
31,man,neutral,2013,maazii
