frame_number,man/woman,emotion,year,movie_name
28,man,happy,2013,matru_ki_bijlee_ka_mandola
30,man,happy,2013,matru_ki_bijlee_ka_mandola
45,woman,sad,2013,matru_ki_bijlee_ka_mandola
90,woman,neutral,2013,matru_ki_bijlee_ka_mandola
26,man,happy,2013,matru_ki_bijlee_ka_mandola
49,man,sad,2013,matru_ki_bijlee_ka_mandola
116,man,angry,2013,matru_ki_bijlee_ka_mandola
92,man,sad,2013,matru_ki_bijlee_ka_mandola
29,woman,neutral,2013,matru_ki_bijlee_ka_mandola
24,woman,happy,2013,matru_ki_bijlee_ka_mandola
46,man,sad,2013,matru_ki_bijlee_ka_mandola
81,woman,sad,2013,matru_ki_bijlee_ka_mandola
81,man,fear,2013,matru_ki_bijlee_ka_mandola
123,woman,surprise,2013,matru_ki_bijlee_ka_mandola
32,man,happy,2013,matru_ki_bijlee_ka_mandola
47,man,sad,2013,matru_ki_bijlee_ka_mandola
48,man,sad,2013,matru_ki_bijlee_ka_mandola
105,man,neutral,2013,matru_ki_bijlee_ka_mandola
124,man,surprise,2013,matru_ki_bijlee_ka_mandola
124,woman,neutral,2013,matru_ki_bijlee_ka_mandola
23,woman,sad,2013,matru_ki_bijlee_ka_mandola
25,man,happy,2013,matru_ki_bijlee_ka_mandola
31,man,happy,2013,matru_ki_bijlee_ka_mandola
