frame_number,man/woman,emotion,year,movie_name
14,man,angry,2013,mumbai_mirror
28,woman,sad,2013,mumbai_mirror
51,man,angry,2013,mumbai_mirror
51,man,surprise,2013,mumbai_mirror
60,man,happy,2013,mumbai_mirror
58,man,neutral,2013,mumbai_mirror
30,man,neutral,2013,mumbai_mirror
15,man,neutral,2013,mumbai_mirror
59,man,sad,2013,mumbai_mirror
26,man,sad,2013,mumbai_mirror
26,man,fear,2013,mumbai_mirror
53,woman,neutral,2013,mumbai_mirror
63,man,sad,2013,mumbai_mirror
69,man,happy,2013,mumbai_mirror
116,man,neutral,2013,mumbai_mirror
74,man,neutral,2013,mumbai_mirror
29,man,happy,2013,mumbai_mirror
84,woman,happy,2013,mumbai_mirror
13,woman,neutral,2013,mumbai_mirror
77,man,angry,2013,mumbai_mirror
27,woman,angry,2013,mumbai_mirror
87,man,fear,2013,mumbai_mirror
24,man,angry,2013,mumbai_mirror
100,man,sad,2013,mumbai_mirror
100,man,happy,2013,mumbai_mirror
115,woman,angry,2013,mumbai_mirror
115,man,angry,2013,mumbai_mirror
115,man,neutral,2013,mumbai_mirror
78,woman,sad,2013,mumbai_mirror
117,man,neutral,2013,mumbai_mirror
43,man,angry,2013,mumbai_mirror
114,man,fear,2013,mumbai_mirror
57,man,neutral,2013,mumbai_mirror
64,man,sad,2013,mumbai_mirror
79,man,neutral,2013,mumbai_mirror
80,woman,sad,2013,mumbai_mirror
