frame_number,man/woman,emotion,year,movie_name
51,man,happy,2013,nautanki_saala
60,man,sad,2013,nautanki_saala
131,man,happy,2013,nautanki_saala
45,man,neutral,2013,nautanki_saala
91,woman,happy,2013,nautanki_saala
35,man,neutral,2013,nautanki_saala
36,man,sad,2013,nautanki_saala
52,man,happy,2013,nautanki_saala
49,man,neutral,2013,nautanki_saala
54,man,neutral,2013,nautanki_saala
135,man,neutral,2013,nautanki_saala
102,man,sad,2013,nautanki_saala
110,man,neutral,2013,nautanki_saala
83,woman,neutral,2013,nautanki_saala
133,man,happy,2013,nautanki_saala
136,man,neutral,2013,nautanki_saala
82,man,neutral,2013,nautanki_saala
0,woman,sad,2013,nautanki_saala
65,woman,sad,2013,nautanki_saala
134,man,neutral,2013,nautanki_saala
81,woman,neutral,2013,nautanki_saala
50,woman,sad,2013,nautanki_saala
113,man,neutral,2013,nautanki_saala
32,man,happy,2013,nautanki_saala
137,man,neutral,2013,nautanki_saala
48,man,sad,2013,nautanki_saala
105,man,happy,2013,nautanki_saala
80,man,sad,2013,nautanki_saala
