frame_number,man/woman,emotion,year,movie_name
85,man,neutral,2013,once_upon_a_time_in_mumbai_doobara!
88,man,neutral,2013,once_upon_a_time_in_mumbai_doobara!
76,woman,sad,2013,once_upon_a_time_in_mumbai_doobara!
156,man,fear,2013,once_upon_a_time_in_mumbai_doobara!
69,man,sad,2013,once_upon_a_time_in_mumbai_doobara!
89,man,neutral,2013,once_upon_a_time_in_mumbai_doobara!
74,man,happy,2013,once_upon_a_time_in_mumbai_doobara!
74,man,angry,2013,once_upon_a_time_in_mumbai_doobara!
83,man,sad,2013,once_upon_a_time_in_mumbai_doobara!
84,man,sad,2013,once_upon_a_time_in_mumbai_doobara!
65,woman,happy,2013,once_upon_a_time_in_mumbai_doobara!
99,man,neutral,2013,once_upon_a_time_in_mumbai_doobara!
73,man,angry,2013,once_upon_a_time_in_mumbai_doobara!
152,man,happy,2013,once_upon_a_time_in_mumbai_doobara!
64,man,happy,2013,once_upon_a_time_in_mumbai_doobara!
64,woman,happy,2013,once_upon_a_time_in_mumbai_doobara!
72,man,neutral,2013,once_upon_a_time_in_mumbai_doobara!
72,woman,fear,2013,once_upon_a_time_in_mumbai_doobara!
75,man,happy,2013,once_upon_a_time_in_mumbai_doobara!
