frame_number,man/woman,emotion,year,movie_name
85,woman,surprise,2013,phata_poster_nikla_hero
28,woman,surprise,2013,phata_poster_nikla_hero
132,man,neutral,2013,phata_poster_nikla_hero
132,woman,neutral,2013,phata_poster_nikla_hero
94,man,surprise,2013,phata_poster_nikla_hero
58,man,neutral,2013,phata_poster_nikla_hero
61,man,fear,2013,phata_poster_nikla_hero
131,woman,fear,2013,phata_poster_nikla_hero
88,woman,neutral,2013,phata_poster_nikla_hero
20,man,happy,2013,phata_poster_nikla_hero
30,woman,happy,2013,phata_poster_nikla_hero
76,man,fear,2013,phata_poster_nikla_hero
120,man,angry,2013,phata_poster_nikla_hero
108,man,angry,2013,phata_poster_nikla_hero
108,man,happy,2013,phata_poster_nikla_hero
86,woman,neutral,2013,phata_poster_nikla_hero
45,woman,happy,2013,phata_poster_nikla_hero
55,man,surprise,2013,phata_poster_nikla_hero
35,woman,sad,2013,phata_poster_nikla_hero
36,woman,happy,2013,phata_poster_nikla_hero
59,man,angry,2013,phata_poster_nikla_hero
107,woman,sad,2013,phata_poster_nikla_hero
107,woman,happy,2013,phata_poster_nikla_hero
104,man,sad,2013,phata_poster_nikla_hero
104,man,happy,2013,phata_poster_nikla_hero
106,woman,angry,2013,phata_poster_nikla_hero
106,woman,happy,2013,phata_poster_nikla_hero
68,woman,sad,2013,phata_poster_nikla_hero
90,woman,neutral,2013,phata_poster_nikla_hero
26,woman,surprise,2013,phata_poster_nikla_hero
8,man,fear,2013,phata_poster_nikla_hero
63,woman,surprise,2013,phata_poster_nikla_hero
69,woman,happy,2013,phata_poster_nikla_hero
67,woman,angry,2013,phata_poster_nikla_hero
42,woman,happy,2013,phata_poster_nikla_hero
103,man,happy,2013,phata_poster_nikla_hero
103,man,sad,2013,phata_poster_nikla_hero
138,man,sad,2013,phata_poster_nikla_hero
138,man,fear,2013,phata_poster_nikla_hero
89,woman,neutral,2013,phata_poster_nikla_hero
116,man,neutral,2013,phata_poster_nikla_hero
135,man,fear,2013,phata_poster_nikla_hero
135,woman,fear,2013,phata_poster_nikla_hero
56,man,sad,2013,phata_poster_nikla_hero
33,man,happy,2013,phata_poster_nikla_hero
29,woman,surprise,2013,phata_poster_nikla_hero
66,man,angry,2013,phata_poster_nikla_hero
7,woman,angry,2013,phata_poster_nikla_hero
133,man,fear,2013,phata_poster_nikla_hero
133,man,surprise,2013,phata_poster_nikla_hero
136,man,sad,2013,phata_poster_nikla_hero
136,woman,fear,2013,phata_poster_nikla_hero
77,man,surprise,2013,phata_poster_nikla_hero
27,woman,surprise,2013,phata_poster_nikla_hero
87,woman,neutral,2013,phata_poster_nikla_hero
46,man,happy,2013,phata_poster_nikla_hero
65,man,fear,2013,phata_poster_nikla_hero
41,man,angry,2013,phata_poster_nikla_hero
134,woman,neutral,2013,phata_poster_nikla_hero
119,man,angry,2013,phata_poster_nikla_hero
119,man,neutral,2013,phata_poster_nikla_hero
32,woman,neutral,2013,phata_poster_nikla_hero
137,man,sad,2013,phata_poster_nikla_hero
137,man,fear,2013,phata_poster_nikla_hero
99,woman,surprise,2013,phata_poster_nikla_hero
78,man,fear,2013,phata_poster_nikla_hero
97,man,surprise,2013,phata_poster_nikla_hero
97,woman,fear,2013,phata_poster_nikla_hero
34,woman,happy,2013,phata_poster_nikla_hero
105,woman,sad,2013,phata_poster_nikla_hero
73,man,neutral,2013,phata_poster_nikla_hero
79,man,sad,2013,phata_poster_nikla_hero
75,man,happy,2013,phata_poster_nikla_hero
139,woman,neutral,2013,phata_poster_nikla_hero
139,man,surprise,2013,phata_poster_nikla_hero
25,man,neutral,2013,phata_poster_nikla_hero
80,woman,happy,2013,phata_poster_nikla_hero
31,woman,fear,2013,phata_poster_nikla_hero
