frame_number,man/woman,emotion,year,movie_name
93,man,sad,2013,saare_jahaan_se_mehnga
14,man,happy,2013,saare_jahaan_se_mehnga
28,man,neutral,2013,saare_jahaan_se_mehnga
51,man,happy,2013,saare_jahaan_se_mehnga
60,man,angry,2013,saare_jahaan_se_mehnga
118,man,neutral,2013,saare_jahaan_se_mehnga
132,man,sad,2013,saare_jahaan_se_mehnga
44,woman,sad,2013,saare_jahaan_se_mehnga
147,man,sad,2013,saare_jahaan_se_mehnga
30,man,fear,2013,saare_jahaan_se_mehnga
120,woman,sad,2013,saare_jahaan_se_mehnga
55,man,neutral,2013,saare_jahaan_se_mehnga
35,man,neutral,2013,saare_jahaan_se_mehnga
36,man,happy,2013,saare_jahaan_se_mehnga
70,man,angry,2013,saare_jahaan_se_mehnga
142,man,sad,2013,saare_jahaan_se_mehnga
42,woman,sad,2013,saare_jahaan_se_mehnga
54,man,neutral,2013,saare_jahaan_se_mehnga
138,man,sad,2013,saare_jahaan_se_mehnga
116,woman,sad,2013,saare_jahaan_se_mehnga
33,man,neutral,2013,saare_jahaan_se_mehnga
109,man,happy,2013,saare_jahaan_se_mehnga
74,man,sad,2013,saare_jahaan_se_mehnga
27,man,angry,2013,saare_jahaan_se_mehnga
146,man,sad,2013,saare_jahaan_se_mehnga
82,man,angry,2013,saare_jahaan_se_mehnga
141,man,sad,2013,saare_jahaan_se_mehnga
41,woman,sad,2013,saare_jahaan_se_mehnga
119,man,sad,2013,saare_jahaan_se_mehnga
50,man,happy,2013,saare_jahaan_se_mehnga
113,man,fear,2013,saare_jahaan_se_mehnga
32,man,neutral,2013,saare_jahaan_se_mehnga
47,woman,fear,2013,saare_jahaan_se_mehnga
48,woman,fear,2013,saare_jahaan_se_mehnga
115,man,sad,2013,saare_jahaan_se_mehnga
117,woman,happy,2013,saare_jahaan_se_mehnga
43,woman,sad,2013,saare_jahaan_se_mehnga
114,man,fear,2013,saare_jahaan_se_mehnga
75,man,neutral,2013,saare_jahaan_se_mehnga
31,man,fear,2013,saare_jahaan_se_mehnga
