frame_number,man/woman,emotion,year,movie_name
62,woman,neutral,2013,"saheb,_biwi_aur_gangster_returns"
58,man,neutral,2013,"saheb,_biwi_aur_gangster_returns"
44,man,neutral,2013,"saheb,_biwi_aur_gangster_returns"
30,man,neutral,2013,"saheb,_biwi_aur_gangster_returns"
45,man,angry,2013,"saheb,_biwi_aur_gangster_returns"
59,man,sad,2013,"saheb,_biwi_aur_gangster_returns"
106,woman,neutral,2013,"saheb,_biwi_aur_gangster_returns"
63,woman,neutral,2013,"saheb,_biwi_aur_gangster_returns"
42,man,sad,2013,"saheb,_biwi_aur_gangster_returns"
56,man,neutral,2013,"saheb,_biwi_aur_gangster_returns"
33,man,sad,2013,"saheb,_biwi_aur_gangster_returns"
102,man,sad,2013,"saheb,_biwi_aur_gangster_returns"
129,man,sad,2013,"saheb,_biwi_aur_gangster_returns"
77,woman,angry,2013,"saheb,_biwi_aur_gangster_returns"
78,woman,happy,2013,"saheb,_biwi_aur_gangster_returns"
117,man,sad,2013,"saheb,_biwi_aur_gangster_returns"
34,man,sad,2013,"saheb,_biwi_aur_gangster_returns"
43,man,neutral,2013,"saheb,_biwi_aur_gangster_returns"
57,woman,neutral,2013,"saheb,_biwi_aur_gangster_returns"
64,woman,neutral,2013,"saheb,_biwi_aur_gangster_returns"
18,woman,sad,2013,"saheb,_biwi_aur_gangster_returns"
31,man,neutral,2013,"saheb,_biwi_aur_gangster_returns"
