frame_number,man/woman,emotion,year,movie_name
93,man,angry,2013,special_26
14,woman,neutral,2013,special_26
195,man,sad,2013,special_26
62,woman,neutral,2013,special_26
118,man,sad,2013,special_26
4,woman,neutral,2013,special_26
11,woman,neutral,2013,special_26
3,woman,neutral,2013,special_26
147,man,angry,2013,special_26
147,woman,angry,2013,special_26
154,woman,sad,2013,special_26
128,man,sad,2013,special_26
197,woman,fear,2013,special_26
20,man,neutral,2013,special_26
15,man,surprise,2013,special_26
125,man,angry,2013,special_26
19,man,surprise,2013,special_26
140,man,neutral,2013,special_26
140,man,disgust,2013,special_26
140,man,fear,2013,special_26
140,man,angry,2013,special_26
55,man,angry,2013,special_26
155,man,fear,2013,special_26
156,man,fear,2013,special_26
2,man,neutral,2013,special_26
91,man,angry,2013,special_26
158,man,happy,2013,special_26
104,man,sad,2013,special_26
162,man,happy,2013,special_26
68,man,sad,2013,special_26
68,man,fear,2013,special_26
90,man,angry,2013,special_26
26,man,surprise,2013,special_26
145,woman,sad,2013,special_26
145,man,neutral,2013,special_26
145,man,sad,2013,special_26
145,man,angry,2013,special_26
142,man,angry,2013,special_26
142,man,sad,2013,special_26
142,man,fear,2013,special_26
142,man,neutral,2013,special_26
12,woman,neutral,2013,special_26
8,man,surprise,2013,special_26
63,man,angry,2013,special_26
165,woman,happy,2013,special_26
69,woman,sad,2013,special_26
69,woman,fear,2013,special_26
69,man,fear,2013,special_26
67,woman,sad,2013,special_26
67,man,fear,2013,special_26
194,man,angry,2013,special_26
143,man,neutral,2013,special_26
74,woman,angry,2013,special_26
92,man,angry,2013,special_26
102,man,neutral,2013,special_26
190,woman,angry,2013,special_26
190,man,neutral,2013,special_26
190,man,angry,2013,special_26
190,man,neutral,2013,special_26
161,man,sad,2013,special_26
66,woman,angry,2013,special_26
66,man,fear,2013,special_26
144,man,angry,2013,special_26
144,man,neutral,2013,special_26
144,woman,sad,2013,special_26
144,man,sad,2013,special_26
13,woman,neutral,2013,special_26
1,woman,happy,2013,special_26
7,man,neutral,2013,special_26
27,man,happy,2013,special_26
146,man,angry,2013,special_26
146,man,fear,2013,special_26
87,woman,fear,2013,special_26
82,woman,sad,2013,special_26
82,man,sad,2013,special_26
141,woman,sad,2013,special_26
141,man,neutral,2013,special_26
141,man,angry,2013,special_26
141,man,fear,2013,special_26
24,man,neutral,2013,special_26
16,woman,neutral,2013,special_26
17,woman,fear,2013,special_26
65,man,neutral,2013,special_26
65,man,neutral,2013,special_26
65,woman,angry,2013,special_26
10,woman,surprise,2013,special_26
134,woman,sad,2013,special_26
134,woman,neutral,2013,special_26
196,woman,angry,2013,special_26
160,man,happy,2013,special_26
81,woman,sad,2013,special_26
9,man,surprise,2013,special_26
100,man,happy,2013,special_26
148,man,sad,2013,special_26
148,man,fear,2013,special_26
127,woman,sad,2013,special_26
126,man,angry,2013,special_26
101,man,happy,2013,special_26
159,man,happy,2013,special_26
78,man,sad,2013,special_26
78,woman,neutral,2013,special_26
117,man,happy,2013,special_26
187,woman,angry,2013,special_26
198,woman,sad,2013,special_26
21,man,neutral,2013,special_26
22,man,neutral,2013,special_26
6,man,neutral,2013,special_26
73,woman,fear,2013,special_26
189,man,neutral,2013,special_26
189,man,angry,2013,special_26
189,man,neutral,2013,special_26
189,man,neutral,2013,special_26
57,man,happy,2013,special_26
64,man,angry,2013,special_26
64,man,angry,2013,special_26
5,woman,fear,2013,special_26
79,man,fear,2013,special_26
79,woman,sad,2013,special_26
23,man,surprise,2013,special_26
139,man,sad,2013,special_26
18,man,neutral,2013,special_26
188,man,angry,2013,special_26
188,man,sad,2013,special_26
188,man,angry,2013,special_26
188,man,neutral,2013,special_26
25,man,surprise,2013,special_26
80,woman,sad,2013,special_26
