frame_number,man/woman,emotion,year,movie_name
93,man,sad,2013,vishwaroop
94,man,neutral,2013,vishwaroop
94,man,sad,2013,vishwaroop
96,man,sad,2013,vishwaroop
96,man,sad,2013,vishwaroop
108,man,sad,2013,vishwaroop
108,man,sad,2013,vishwaroop
55,woman,happy,2013,vishwaroop
91,man,sad,2013,vishwaroop
59,man,angry,2013,vishwaroop
59,man,fear,2013,vishwaroop
68,man,sad,2013,vishwaroop
53,man,neutral,2013,vishwaroop
63,man,happy,2013,vishwaroop
69,man,sad,2013,vishwaroop
67,woman,neutral,2013,vishwaroop
103,man,sad,2013,vishwaroop
54,man,neutral,2013,vishwaroop
56,man,neutral,2013,vishwaroop
56,man,sad,2013,vishwaroop
115,man,sad,2013,vishwaroop
95,man,sad,2013,vishwaroop
57,man,sad,2013,vishwaroop
57,woman,sad,2013,vishwaroop
