frame_number,man/woman,emotion,year,movie_name
93,man,surprise,2013,yamla_pagla_deewana_2
122,man,sad,2013,yamla_pagla_deewana_2
122,woman,neutral,2013,yamla_pagla_deewana_2
28,man,angry,2013,yamla_pagla_deewana_2
28,man,neutral,2013,yamla_pagla_deewana_2
51,man,neutral,2013,yamla_pagla_deewana_2
111,man,sad,2013,yamla_pagla_deewana_2
58,man,happy,2013,yamla_pagla_deewana_2
61,woman,sad,2013,yamla_pagla_deewana_2
61,man,happy,2013,yamla_pagla_deewana_2
61,woman,happy,2013,yamla_pagla_deewana_2
61,woman,sad,2013,yamla_pagla_deewana_2
61,man,neutral,2013,yamla_pagla_deewana_2
44,woman,neutral,2013,yamla_pagla_deewana_2
44,woman,neutral,2013,yamla_pagla_deewana_2
11,man,disgust,2013,yamla_pagla_deewana_2
20,man,neutral,2013,yamla_pagla_deewana_2
71,woman,happy,2013,yamla_pagla_deewana_2
30,man,fear,2013,yamla_pagla_deewana_2
30,man,sad,2013,yamla_pagla_deewana_2
15,man,disgust,2013,yamla_pagla_deewana_2
125,man,angry,2013,yamla_pagla_deewana_2
125,man,disgust,2013,yamla_pagla_deewana_2
86,man,happy,2013,yamla_pagla_deewana_2
55,man,neutral,2013,yamla_pagla_deewana_2
55,man,sad,2013,yamla_pagla_deewana_2
91,man,angry,2013,yamla_pagla_deewana_2
158,man,neutral,2013,yamla_pagla_deewana_2
158,man,neutral,2013,yamla_pagla_deewana_2
107,man,angry,2013,yamla_pagla_deewana_2
52,man,neutral,2013,yamla_pagla_deewana_2
52,man,neutral,2013,yamla_pagla_deewana_2
90,man,disgust,2013,yamla_pagla_deewana_2
38,man,angry,2013,yamla_pagla_deewana_2
26,man,sad,2013,yamla_pagla_deewana_2
53,man,neutral,2013,yamla_pagla_deewana_2
12,man,disgust,2013,yamla_pagla_deewana_2
49,woman,sad,2013,yamla_pagla_deewana_2
49,man,neutral,2013,yamla_pagla_deewana_2
42,man,angry,2013,yamla_pagla_deewana_2
42,man,happy,2013,yamla_pagla_deewana_2
54,man,happy,2013,yamla_pagla_deewana_2
89,man,neutral,2013,yamla_pagla_deewana_2
56,man,neutral,2013,yamla_pagla_deewana_2
56,man,neutral,2013,yamla_pagla_deewana_2
33,man,happy,2013,yamla_pagla_deewana_2
92,man,happy,2013,yamla_pagla_deewana_2
29,man,surprise,2013,yamla_pagla_deewana_2
29,man,fear,2013,yamla_pagla_deewana_2
37,man,happy,2013,yamla_pagla_deewana_2
164,man,happy,2013,yamla_pagla_deewana_2
83,woman,happy,2013,yamla_pagla_deewana_2
84,man,neutral,2013,yamla_pagla_deewana_2
144,man,angry,2013,yamla_pagla_deewana_2
27,woman,neutral,2013,yamla_pagla_deewana_2
87,man,happy,2013,yamla_pagla_deewana_2
24,man,fear,2013,yamla_pagla_deewana_2
24,man,fear,2013,yamla_pagla_deewana_2
46,man,happy,2013,yamla_pagla_deewana_2
46,man,happy,2013,yamla_pagla_deewana_2
16,woman,disgust,2013,yamla_pagla_deewana_2
17,man,disgust,2013,yamla_pagla_deewana_2
65,man,sad,2013,yamla_pagla_deewana_2
10,man,disgust,2013,yamla_pagla_deewana_2
160,man,happy,2013,yamla_pagla_deewana_2
50,man,neutral,2013,yamla_pagla_deewana_2
50,man,happy,2013,yamla_pagla_deewana_2
50,man,neutral,2013,yamla_pagla_deewana_2
113,woman,sad,2013,yamla_pagla_deewana_2
113,man,fear,2013,yamla_pagla_deewana_2
123,man,fear,2013,yamla_pagla_deewana_2
123,man,sad,2013,yamla_pagla_deewana_2
32,man,angry,2013,yamla_pagla_deewana_2
157,man,happy,2013,yamla_pagla_deewana_2
47,man,happy,2013,yamla_pagla_deewana_2
47,man,angry,2013,yamla_pagla_deewana_2
47,man,fear,2013,yamla_pagla_deewana_2
126,man,fear,2013,yamla_pagla_deewana_2
126,man,angry,2013,yamla_pagla_deewana_2
159,man,neutral,2013,yamla_pagla_deewana_2
21,man,angry,2013,yamla_pagla_deewana_2
114,man,sad,2013,yamla_pagla_deewana_2
124,man,fear,2013,yamla_pagla_deewana_2
124,man,angry,2013,yamla_pagla_deewana_2
112,man,surprise,2013,yamla_pagla_deewana_2
25,man,angry,2013,yamla_pagla_deewana_2
31,man,sad,2013,yamla_pagla_deewana_2
31,man,angry,2013,yamla_pagla_deewana_2
