frame_number,man/woman,emotion,year,movie_name
85,man,neutral,2013,yeh_jawaani_hai_deewani
85,woman,fear,2013,yeh_jawaani_hai_deewani
195,man,neutral,2013,yeh_jawaani_hai_deewani
51,man,fear,2013,yeh_jawaani_hai_deewani
62,woman,fear,2013,yeh_jawaani_hai_deewani
60,man,fear,2013,yeh_jawaani_hai_deewani
58,woman,neutral,2013,yeh_jawaani_hai_deewani
61,man,surprise,2013,yeh_jawaani_hai_deewani
88,woman,surprise,2013,yeh_jawaani_hai_deewani
185,man,sad,2013,yeh_jawaani_hai_deewani
154,man,happy,2013,yeh_jawaani_hai_deewani
154,woman,happy,2013,yeh_jawaani_hai_deewani
197,man,neutral,2013,yeh_jawaani_hai_deewani
108,man,neutral,2013,yeh_jawaani_hai_deewani
108,man,neutral,2013,yeh_jawaani_hai_deewani
140,man,sad,2013,yeh_jawaani_hai_deewani
86,man,neutral,2013,yeh_jawaani_hai_deewani
86,woman,fear,2013,yeh_jawaani_hai_deewani
55,man,surprise,2013,yeh_jawaani_hai_deewani
155,man,happy,2013,yeh_jawaani_hai_deewani
156,woman,happy,2013,yeh_jawaani_hai_deewani
158,woman,neutral,2013,yeh_jawaani_hai_deewani
59,man,happy,2013,yeh_jawaani_hai_deewani
107,man,surprise,2013,yeh_jawaani_hai_deewani
107,woman,neutral,2013,yeh_jawaani_hai_deewani
104,man,neutral,2013,yeh_jawaani_hai_deewani
104,man,neutral,2013,yeh_jawaani_hai_deewani
168,man,happy,2013,yeh_jawaani_hai_deewani
106,man,neutral,2013,yeh_jawaani_hai_deewani
106,man,neutral,2013,yeh_jawaani_hai_deewani
52,man,happy,2013,yeh_jawaani_hai_deewani
176,man,neutral,2013,yeh_jawaani_hai_deewani
186,woman,fear,2013,yeh_jawaani_hai_deewani
68,woman,fear,2013,yeh_jawaani_hai_deewani
121,man,happy,2013,yeh_jawaani_hai_deewani
53,man,happy,2013,yeh_jawaani_hai_deewani
142,man,happy,2013,yeh_jawaani_hai_deewani
63,man,neutral,2013,yeh_jawaani_hai_deewani
49,man,neutral,2013,yeh_jawaani_hai_deewani
191,woman,sad,2013,yeh_jawaani_hai_deewani
165,woman,happy,2013,yeh_jawaani_hai_deewani
69,man,happy,2013,yeh_jawaani_hai_deewani
67,woman,fear,2013,yeh_jawaani_hai_deewani
103,man,neutral,2013,yeh_jawaani_hai_deewani
103,man,neutral,2013,yeh_jawaani_hai_deewani
54,man,happy,2013,yeh_jawaani_hai_deewani
135,man,surprise,2013,yeh_jawaani_hai_deewani
56,man,surprise,2013,yeh_jawaani_hai_deewani
143,man,sad,2013,yeh_jawaani_hai_deewani
102,man,neutral,2013,yeh_jawaani_hai_deewani
102,man,neutral,2013,yeh_jawaani_hai_deewani
110,man,happy,2013,yeh_jawaani_hai_deewani
190,woman,sad,2013,yeh_jawaani_hai_deewani
151,woman,sad,2013,yeh_jawaani_hai_deewani
83,man,neutral,2013,yeh_jawaani_hai_deewani
161,man,happy,2013,yeh_jawaani_hai_deewani
66,man,happy,2013,yeh_jawaani_hai_deewani
84,man,angry,2013,yeh_jawaani_hai_deewani
84,man,sad,2013,yeh_jawaani_hai_deewani
181,man,angry,2013,yeh_jawaani_hai_deewani
87,woman,neutral,2013,yeh_jawaani_hai_deewani
87,man,sad,2013,yeh_jawaani_hai_deewani
82,man,fear,2013,yeh_jawaani_hai_deewani
46,man,fear,2013,yeh_jawaani_hai_deewani
65,man,happy,2013,yeh_jawaani_hai_deewani
134,man,happy,2013,yeh_jawaani_hai_deewani
196,man,neutral,2013,yeh_jawaani_hai_deewani
153,woman,sad,2013,yeh_jawaani_hai_deewani
81,man,neutral,2013,yeh_jawaani_hai_deewani
119,man,happy,2013,yeh_jawaani_hai_deewani
50,man,fear,2013,yeh_jawaani_hai_deewani
157,man,neutral,2013,yeh_jawaani_hai_deewani
47,man,fear,2013,yeh_jawaani_hai_deewani
48,man,neutral,2013,yeh_jawaani_hai_deewani
159,woman,sad,2013,yeh_jawaani_hai_deewani
187,man,neutral,2013,yeh_jawaani_hai_deewani
105,man,neutral,2013,yeh_jawaani_hai_deewani
105,man,happy,2013,yeh_jawaani_hai_deewani
192,woman,sad,2013,yeh_jawaani_hai_deewani
189,woman,fear,2013,yeh_jawaani_hai_deewani
57,man,happy,2013,yeh_jawaani_hai_deewani
64,man,neutral,2013,yeh_jawaani_hai_deewani
139,man,happy,2013,yeh_jawaani_hai_deewani
188,man,neutral,2013,yeh_jawaani_hai_deewani
