frame_number,man/woman,emotion,year,movie_name
85,man,neutral,2013,zanjeer
51,man,neutral,2013,zanjeer
51,man,sad,2013,zanjeer
62,man,neutral,2013,zanjeer
60,man,angry,2013,zanjeer
118,man,fear,2013,zanjeer
111,man,neutral,2013,zanjeer
132,man,neutral,2013,zanjeer
58,man,angry,2013,zanjeer
131,woman,neutral,2013,zanjeer
71,man,sad,2013,zanjeer
125,woman,sad,2013,zanjeer
76,man,neutral,2013,zanjeer
120,man,angry,2013,zanjeer
108,man,sad,2013,zanjeer
59,man,neutral,2013,zanjeer
52,man,angry,2013,zanjeer
52,man,neutral,2013,zanjeer
68,man,sad,2013,zanjeer
70,man,fear,2013,zanjeer
90,man,happy,2013,zanjeer
49,man,sad,2013,zanjeer
49,man,sad,2013,zanjeer
89,man,sad,2013,zanjeer
89,woman,sad,2013,zanjeer
109,man,angry,2013,zanjeer
110,man,fear,2013,zanjeer
129,man,neutral,2013,zanjeer
136,man,happy,2013,zanjeer
87,man,neutral,2013,zanjeer
82,man,sad,2013,zanjeer
65,man,neutral,2013,zanjeer
134,man,angry,2013,zanjeer
81,man,neutral,2013,zanjeer
50,man,neutral,2013,zanjeer
50,man,sad,2013,zanjeer
113,man,neutral,2013,zanjeer
123,man,angry,2013,zanjeer
48,man,sad,2013,zanjeer
48,man,sad,2013,zanjeer
126,man,angry,2013,zanjeer
117,man,angry,2013,zanjeer
34,man,neutral,2013,zanjeer
105,man,sad,2013,zanjeer
124,man,angry,2013,zanjeer
112,man,neutral,2013,zanjeer
72,man,happy,2013,zanjeer
80,woman,sad,2013,zanjeer
