frame_number,man/woman,emotion,year,movie_name
93,man,sad,2013,zilla_ghaziabad
85,man,neutral,2013,zilla_ghaziabad
85,man,neutral,2013,zilla_ghaziabad
85,man,sad,2013,zilla_ghaziabad
62,man,sad,2013,zilla_ghaziabad
94,woman,happy,2013,zilla_ghaziabad
147,man,happy,2013,zilla_ghaziabad
71,woman,happy,2013,zilla_ghaziabad
140,man,angry,2013,zilla_ghaziabad
156,man,angry,2013,zilla_ghaziabad
52,woman,neutral,2013,zilla_ghaziabad
68,woman,angry,2013,zilla_ghaziabad
90,man,angry,2013,zilla_ghaziabad
90,man,sad,2013,zilla_ghaziabad
53,man,angry,2013,zilla_ghaziabad
145,man,neutral,2013,zilla_ghaziabad
63,man,angry,2013,zilla_ghaziabad
67,man,angry,2013,zilla_ghaziabad
40,man,neutral,2013,zilla_ghaziabad
135,woman,sad,2013,zilla_ghaziabad
143,man,neutral,2013,zilla_ghaziabad
92,man,surprise,2013,zilla_ghaziabad
144,man,angry,2013,zilla_ghaziabad
146,man,neutral,2013,zilla_ghaziabad
172,man,sad,2013,zilla_ghaziabad
141,woman,sad,2013,zilla_ghaziabad
41,man,happy,2013,zilla_ghaziabad
81,man,angry,2013,zilla_ghaziabad
119,woman,happy,2013,zilla_ghaziabad
148,man,neutral,2013,zilla_ghaziabad
39,man,neutral,2013,zilla_ghaziabad
127,man,angry,2013,zilla_ghaziabad
137,man,angry,2013,zilla_ghaziabad
115,man,happy,2013,zilla_ghaziabad
115,man,surprise,2013,zilla_ghaziabad
95,woman,neutral,2013,zilla_ghaziabad
78,man,happy,2013,zilla_ghaziabad
117,man,happy,2013,zilla_ghaziabad
117,man,happy,2013,zilla_ghaziabad
43,man,sad,2013,zilla_ghaziabad
43,man,angry,2013,zilla_ghaziabad
43,man,sad,2013,zilla_ghaziabad
64,man,angry,2013,zilla_ghaziabad
177,man,disgust,2013,zilla_ghaziabad
79,woman,happy,2013,zilla_ghaziabad
139,woman,sad,2013,zilla_ghaziabad
80,man,neutral,2013,zilla_ghaziabad
