frame_number,man/woman,emotion,year,movie_name
14,man,neutral,2014,2_states
98,man,sad,2014,2_states
60,woman,fear,2014,2_states
60,man,neutral,2014,2_states
60,woman,happy,2014,2_states
132,woman,sad,2014,2_states
58,woman,neutral,2014,2_states
58,man,sad,2014,2_states
88,man,sad,2014,2_states
20,man,happy,2014,2_states
71,woman,angry,2014,2_states
71,man,sad,2014,2_states
71,man,angry,2014,2_states
15,man,disgust,2014,2_states
120,woman,fear,2014,2_states
163,man,neutral,2014,2_states
163,woman,neutral,2014,2_states
108,woman,surprise,2014,2_states
36,woman,happy,2014,2_states
59,woman,fear,2014,2_states
59,man,angry,2014,2_states
59,man,happy,2014,2_states
107,man,neutral,2014,2_states
107,woman,sad,2014,2_states
104,woman,angry,2014,2_states
162,man,angry,2014,2_states
162,woman,sad,2014,2_states
121,man,neutral,2014,2_states
70,man,angry,2014,2_states
70,woman,sad,2014,2_states
70,man,sad,2014,2_states
90,man,disgust,2014,2_states
26,woman,sad,2014,2_states
63,man,angry,2014,2_states
63,man,sad,2014,2_states
63,woman,happy,2014,2_states
49,woman,neutral,2014,2_states
67,woman,angry,2014,2_states
67,man,angry,2014,2_states
67,man,sad,2014,2_states
103,woman,angry,2014,2_states
40,woman,happy,2014,2_states
138,man,neutral,2014,2_states
116,man,happy,2014,2_states
56,woman,angry,2014,2_states
33,man,angry,2014,2_states
74,man,disgust,2014,2_states
74,man,sad,2014,2_states
74,man,fear,2014,2_states
102,woman,happy,2014,2_states
83,man,angry,2014,2_states
161,woman,happy,2014,2_states
161,man,angry,2014,2_states
66,woman,angry,2014,2_states
84,man,sad,2014,2_states
136,man,angry,2014,2_states
136,woman,angry,2014,2_states
77,man,neutral,2014,2_states
82,man,neutral,2014,2_states
65,woman,happy,2014,2_states
65,man,fear,2014,2_states
41,man,sad,2014,2_states
160,man,angry,2014,2_states
160,woman,happy,2014,2_states
100,woman,happy,2014,2_states
100,woman,fear,2014,2_states
39,man,sad,2014,2_states
39,man,neutral,2014,2_states
32,woman,neutral,2014,2_states
48,man,neutral,2014,2_states
115,woman,sad,2014,2_states
95,woman,happy,2014,2_states
101,woman,happy,2014,2_states
99,man,neutral,2014,2_states
105,woman,disgust,2014,2_states
21,man,neutral,2014,2_states
114,woman,happy,2014,2_states
114,man,neutral,2014,2_states
73,man,sad,2014,2_states
73,man,angry,2014,2_states
73,man,fear,2014,2_states
73,man,sad,2014,2_states
57,woman,surprise,2014,2_states
57,man,sad,2014,2_states
64,woman,angry,2014,2_states
64,man,neutral,2014,2_states
72,man,sad,2014,2_states
72,woman,angry,2014,2_states
72,man,sad,2014,2_states
72,man,sad,2014,2_states
79,man,neutral,2014,2_states
23,man,fear,2014,2_states
23,man,happy,2014,2_states
25,woman,sad,2014,2_states
31,man,happy,2014,2_states
