frame_number,man/woman,emotion,year,movie_name
93,man,sad,2014,angry_young_man
28,woman,fear,2014,angry_young_man
98,woman,neutral,2014,angry_young_man
60,man,neutral,2014,angry_young_man
132,man,sad,2014,angry_young_man
94,man,sad,2014,angry_young_man
131,man,angry,2014,angry_young_man
125,woman,happy,2014,angry_young_man
108,man,angry,2014,angry_young_man
55,woman,fear,2014,angry_young_man
91,woman,happy,2014,angry_young_man
35,woman,happy,2014,angry_young_man
107,man,angry,2014,angry_young_man
49,man,neutral,2014,angry_young_man
109,man,angry,2014,angry_young_man
27,man,sad,2014,angry_young_man
16,man,sad,2014,angry_young_man
17,woman,fear,2014,angry_young_man
81,man,neutral,2014,angry_young_man
50,woman,neutral,2014,angry_young_man
50,woman,neutral,2014,angry_young_man
113,man,sad,2014,angry_young_man
100,man,sad,2014,angry_young_man
115,woman,fear,2014,angry_young_man
126,man,angry,2014,angry_young_man
101,man,sad,2014,angry_young_man
99,man,neutral,2014,angry_young_man
105,man,angry,2014,angry_young_man
114,man,neutral,2014,angry_young_man
124,woman,sad,2014,angry_young_man
64,woman,sad,2014,angry_young_man
75,man,fear,2014,angry_young_man
18,woman,fear,2014,angry_young_man
80,woman,sad,2014,angry_young_man
