frame_number,man/woman,emotion,year,movie_name
60,man,angry,2014,ankhon_dekhi
71,man,sad,2014,ankhon_dekhi
19,man,happy,2014,ankhon_dekhi
45,man,angry,2014,ankhon_dekhi
59,man,sad,2014,ankhon_dekhi
70,man,neutral,2014,ankhon_dekhi
69,man,neutral,2014,ankhon_dekhi
33,man,fear,2014,ankhon_dekhi
74,woman,angry,2014,ankhon_dekhi
46,woman,happy,2014,ankhon_dekhi
32,man,happy,2014,ankhon_dekhi
47,man,fear,2014,ankhon_dekhi
48,woman,happy,2014,ankhon_dekhi
21,man,angry,2014,ankhon_dekhi
22,man,sad,2014,ankhon_dekhi
57,woman,sad,2014,ankhon_dekhi
72,man,sad,2014,ankhon_dekhi
23,man,neutral,2014,ankhon_dekhi
75,woman,angry,2014,ankhon_dekhi
31,man,neutral,2014,ankhon_dekhi
