frame_number,man/woman,emotion,year,movie_name
51,woman,neutral,2014,anuradha
44,man,fear,2014,anuradha
4,man,neutral,2014,anuradha
15,man,fear,2014,anuradha
19,woman,happy,2014,anuradha
76,man,surprise,2014,anuradha
76,woman,neutral,2014,anuradha
45,woman,angry,2014,anuradha
45,man,angry,2014,anuradha
45,woman,happy,2014,anuradha
35,woman,fear,2014,anuradha
36,woman,fear,2014,anuradha
52,woman,neutral,2014,anuradha
38,woman,neutral,2014,anuradha
53,woman,angry,2014,anuradha
8,man,neutral,2014,anuradha
42,man,fear,2014,anuradha
54,woman,neutral,2014,anuradha
56,woman,angry,2014,anuradha
33,woman,fear,2014,anuradha
29,man,angry,2014,anuradha
37,woman,fear,2014,anuradha
66,man,happy,2014,anuradha
13,man,fear,2014,anuradha
77,man,fear,2014,anuradha
46,man,angry,2014,anuradha
65,man,neutral,2014,anuradha
41,man,neutral,2014,anuradha
9,man,neutral,2014,anuradha
32,woman,fear,2014,anuradha
47,woman,disgust,2014,anuradha
78,man,fear,2014,anuradha
34,woman,angry,2014,anuradha
43,man,fear,2014,anuradha
6,woman,sad,2014,anuradha
57,man,happy,2014,anuradha
64,man,neutral,2014,anuradha
5,man,neutral,2014,anuradha
79,man,sad,2014,anuradha
79,woman,neutral,2014,anuradha
80,man,surprise,2014,anuradha
31,woman,angry,2014,anuradha
