frame_number,man/woman,emotion,year,movie_name
122,man,neutral,2014,bewakoofiyaan
98,woman,angry,2014,bewakoofiyaan
62,man,sad,2014,bewakoofiyaan
60,woman,happy,2014,bewakoofiyaan
44,woman,angry,2014,bewakoofiyaan
88,woman,angry,2014,bewakoofiyaan
128,man,angry,2014,bewakoofiyaan
71,man,happy,2014,bewakoofiyaan
30,man,happy,2014,bewakoofiyaan
125,man,neutral,2014,bewakoofiyaan
19,man,happy,2014,bewakoofiyaan
108,woman,happy,2014,bewakoofiyaan
140,man,neutral,2014,bewakoofiyaan
45,man,neutral,2014,bewakoofiyaan
59,woman,angry,2014,bewakoofiyaan
107,man,happy,2014,bewakoofiyaan
70,woman,neutral,2014,bewakoofiyaan
142,man,neutral,2014,bewakoofiyaan
49,man,neutral,2014,bewakoofiyaan
69,man,neutral,2014,bewakoofiyaan
42,woman,neutral,2014,bewakoofiyaan
54,man,neutral,2014,bewakoofiyaan
40,man,neutral,2014,bewakoofiyaan
143,man,neutral,2014,bewakoofiyaan
29,man,happy,2014,bewakoofiyaan
129,man,angry,2014,bewakoofiyaan
84,woman,fear,2014,bewakoofiyaan
27,man,happy,2014,bewakoofiyaan
87,man,sad,2014,bewakoofiyaan
141,man,neutral,2014,bewakoofiyaan
24,woman,happy,2014,bewakoofiyaan
41,man,happy,2014,bewakoofiyaan
119,woman,fear,2014,bewakoofiyaan
119,man,surprise,2014,bewakoofiyaan
50,man,neutral,2014,bewakoofiyaan
123,man,neutral,2014,bewakoofiyaan
100,man,happy,2014,bewakoofiyaan
127,man,neutral,2014,bewakoofiyaan
47,man,neutral,2014,bewakoofiyaan
48,man,angry,2014,bewakoofiyaan
126,man,angry,2014,bewakoofiyaan
101,man,happy,2014,bewakoofiyaan
99,man,happy,2014,bewakoofiyaan
117,man,happy,2014,bewakoofiyaan
117,man,neutral,2014,bewakoofiyaan
97,man,neutral,2014,bewakoofiyaan
105,man,sad,2014,bewakoofiyaan
114,man,happy,2014,bewakoofiyaan
57,man,happy,2014,bewakoofiyaan
124,man,neutral,2014,bewakoofiyaan
18,man,happy,2014,bewakoofiyaan
