frame_number,man/woman,emotion,year,movie_name
28,man,fear,2014,bhoothnath_returns
60,man,angry,2014,bhoothnath_returns
118,man,neutral,2014,bhoothnath_returns
131,man,angry,2014,bhoothnath_returns
20,man,neutral,2014,bhoothnath_returns
71,man,happy,2014,bhoothnath_returns
30,man,angry,2014,bhoothnath_returns
125,woman,fear,2014,bhoothnath_returns
19,man,fear,2014,bhoothnath_returns
120,man,angry,2014,bhoothnath_returns
120,man,neutral,2014,bhoothnath_returns
140,man,sad,2014,bhoothnath_returns
45,woman,fear,2014,bhoothnath_returns
55,man,angry,2014,bhoothnath_returns
36,man,fear,2014,bhoothnath_returns
59,woman,neutral,2014,bhoothnath_returns
107,man,angry,2014,bhoothnath_returns
104,man,angry,2014,bhoothnath_returns
106,man,angry,2014,bhoothnath_returns
70,woman,happy,2014,bhoothnath_returns
38,woman,surprise,2014,bhoothnath_returns
69,man,happy,2014,bhoothnath_returns
116,man,angry,2014,bhoothnath_returns
116,man,neutral,2014,bhoothnath_returns
109,man,sad,2014,bhoothnath_returns
29,man,angry,2014,bhoothnath_returns
110,man,neutral,2014,bhoothnath_returns
136,man,sad,2014,bhoothnath_returns
27,man,angry,2014,bhoothnath_returns
24,man,angry,2014,bhoothnath_returns
46,man,sad,2014,bhoothnath_returns
81,man,fear,2014,bhoothnath_returns
119,man,angry,2014,bhoothnath_returns
113,man,neutral,2014,bhoothnath_returns
113,man,angry,2014,bhoothnath_returns
39,man,surprise,2014,bhoothnath_returns
32,man,angry,2014,bhoothnath_returns
127,man,angry,2014,bhoothnath_returns
137,man,neutral,2014,bhoothnath_returns
99,man,angry,2014,bhoothnath_returns
117,man,neutral,2014,bhoothnath_returns
117,man,angry,2014,bhoothnath_returns
21,man,neutral,2014,bhoothnath_returns
114,man,angry,2014,bhoothnath_returns
114,woman,neutral,2014,bhoothnath_returns
22,man,fear,2014,bhoothnath_returns
73,man,angry,2014,bhoothnath_returns
64,woman,sad,2014,bhoothnath_returns
112,woman,neutral,2014,bhoothnath_returns
72,man,happy,2014,bhoothnath_returns
79,man,neutral,2014,bhoothnath_returns
25,man,sad,2014,bhoothnath_returns
80,man,sad,2014,bhoothnath_returns
31,man,angry,2014,bhoothnath_returns
