frame_number,man/woman,emotion,year,movie_name
284,man,angry,2014,children_of_war
147,woman,sad,2014,children_of_war
149,man,sad,2014,children_of_war
286,man,neutral,2014,children_of_war
104,man,sad,2014,children_of_war
214,man,angry,2014,children_of_war
150,woman,sad,2014,children_of_war
203,woman,neutral,2014,children_of_war
103,man,sad,2014,children_of_war
102,man,neutral,2014,children_of_war
151,woman,sad,2014,children_of_war
204,man,happy,2014,children_of_war
146,woman,angry,2014,children_of_war
285,man,happy,2014,children_of_war
315,woman,sad,2014,children_of_war
166,man,sad,2014,children_of_war
283,man,neutral,2014,children_of_war
265,man,neutral,2014,children_of_war
257,man,angry,2014,children_of_war
314,woman,happy,2014,children_of_war
101,woman,surprise,2014,children_of_war
99,man,surprise,2014,children_of_war
260,man,angry,2014,children_of_war
272,man,neutral,2014,children_of_war
152,woman,sad,2014,children_of_war
189,man,sad,2014,children_of_war
