frame_number,man/woman,emotion,year,movie_name
60,woman,angry,2014,city_lights
132,man,angry,2014,city_lights
61,man,sad,2014,city_lights
131,man,happy,2014,city_lights
128,woman,angry,2014,city_lights
30,man,neutral,2014,city_lights
125,man,happy,2014,city_lights
76,man,sad,2014,city_lights
108,man,angry,2014,city_lights
55,man,sad,2014,city_lights
107,woman,angry,2014,city_lights
49,man,sad,2014,city_lights
67,woman,neutral,2014,city_lights
33,man,neutral,2014,city_lights
109,man,sad,2014,city_lights
74,man,neutral,2014,city_lights
83,man,neutral,2014,city_lights
84,man,neutral,2014,city_lights
7,man,happy,2014,city_lights
77,man,sad,2014,city_lights
46,man,angry,2014,city_lights
46,man,angry,2014,city_lights
32,man,angry,2014,city_lights
32,man,neutral,2014,city_lights
127,woman,sad,2014,city_lights
48,man,angry,2014,city_lights
126,woman,neutral,2014,city_lights
34,man,sad,2014,city_lights
34,woman,fear,2014,city_lights
114,man,angry,2014,city_lights
6,woman,happy,2014,city_lights
73,man,neutral,2014,city_lights
57,man,neutral,2014,city_lights
5,man,happy,2014,city_lights
72,man,neutral,2014,city_lights
75,man,happy,2014,city_lights
31,man,neutral,2014,city_lights
