frame_number,man/woman,emotion,year,movie_name
51,man,neutral,2014,creature
94,man,neutral,2014,creature
88,man,neutral,2014,creature
90,man,sad,2014,creature
8,woman,happy,2014,creature
63,woman,angry,2014,creature
69,man,neutral,2014,creature
67,man,neutral,2014,creature
67,man,happy,2014,creature
83,man,sad,2014,creature
81,man,neutral,2014,creature
22,woman,neutral,2014,creature
112,man,happy,2014,creature
75,man,angry,2014,creature
75,man,happy,2014,creature
18,woman,happy,2014,creature
25,woman,happy,2014,creature
