frame_number,man/woman,emotion,year,movie_name
122,man,neutral,2014,dekh_tamasha_dekh
122,woman,angry,2014,dekh_tamasha_dekh
51,man,angry,2014,dekh_tamasha_dekh
118,man,sad,2014,dekh_tamasha_dekh
61,man,fear,2014,dekh_tamasha_dekh
173,man,surprise,2014,dekh_tamasha_dekh
173,woman,surprise,2014,dekh_tamasha_dekh
3,woman,neutral,2014,dekh_tamasha_dekh
170,woman,happy,2014,dekh_tamasha_dekh
125,man,sad,2014,dekh_tamasha_dekh
120,man,neutral,2014,dekh_tamasha_dekh
182,man,neutral,2014,dekh_tamasha_dekh
182,woman,happy,2014,dekh_tamasha_dekh
156,man,sad,2014,dekh_tamasha_dekh
2,woman,neutral,2014,dekh_tamasha_dekh
158,man,angry,2014,dekh_tamasha_dekh
184,woman,neutral,2014,dekh_tamasha_dekh
184,woman,happy,2014,dekh_tamasha_dekh
168,woman,happy,2014,dekh_tamasha_dekh
106,man,happy,2014,dekh_tamasha_dekh
52,man,happy,2014,dekh_tamasha_dekh
68,man,fear,2014,dekh_tamasha_dekh
121,woman,sad,2014,dekh_tamasha_dekh
70,man,angry,2014,dekh_tamasha_dekh
53,man,angry,2014,dekh_tamasha_dekh
63,man,angry,2014,dekh_tamasha_dekh
49,man,neutral,2014,dekh_tamasha_dekh
171,woman,happy,2014,dekh_tamasha_dekh
54,man,angry,2014,dekh_tamasha_dekh
138,man,happy,2014,dekh_tamasha_dekh
180,woman,happy,2014,dekh_tamasha_dekh
180,man,neutral,2014,dekh_tamasha_dekh
178,woman,sad,2014,dekh_tamasha_dekh
179,man,neutral,2014,dekh_tamasha_dekh
179,woman,happy,2014,dekh_tamasha_dekh
109,woman,sad,2014,dekh_tamasha_dekh
175,woman,happy,2014,dekh_tamasha_dekh
175,man,neutral,2014,dekh_tamasha_dekh
102,woman,sad,2014,dekh_tamasha_dekh
110,woman,surprise,2014,dekh_tamasha_dekh
183,woman,happy,2014,dekh_tamasha_dekh
183,woman,neutral,2014,dekh_tamasha_dekh
66,man,neutral,2014,dekh_tamasha_dekh
181,man,sad,2014,dekh_tamasha_dekh
181,woman,happy,2014,dekh_tamasha_dekh
0,man,neutral,2014,dekh_tamasha_dekh
65,man,neutral,2014,dekh_tamasha_dekh
65,woman,happy,2014,dekh_tamasha_dekh
167,woman,happy,2014,dekh_tamasha_dekh
169,woman,happy,2014,dekh_tamasha_dekh
119,woman,surprise,2014,dekh_tamasha_dekh
123,woman,sad,2014,dekh_tamasha_dekh
157,man,sad,2014,dekh_tamasha_dekh
48,man,neutral,2014,dekh_tamasha_dekh
115,man,sad,2014,dekh_tamasha_dekh
126,man,sad,2014,dekh_tamasha_dekh
78,man,neutral,2014,dekh_tamasha_dekh
105,man,happy,2014,dekh_tamasha_dekh
124,man,sad,2014,dekh_tamasha_dekh
64,man,neutral,2014,dekh_tamasha_dekh
64,man,fear,2014,dekh_tamasha_dekh
177,man,neutral,2014,dekh_tamasha_dekh
177,man,angry,2014,dekh_tamasha_dekh
