frame_number,man/woman,emotion,year,movie_name
62,man,neutral,2014,dishkiyaoon
60,woman,angry,2014,dishkiyaoon
118,man,sad,2014,dishkiyaoon
61,man,angry,2014,dishkiyaoon
30,man,angry,2014,dishkiyaoon
108,man,neutral,2014,dishkiyaoon
149,man,disgust,2014,dishkiyaoon
55,man,sad,2014,dishkiyaoon
91,man,neutral,2014,dishkiyaoon
36,man,fear,2014,dishkiyaoon
107,man,angry,2014,dishkiyaoon
52,man,sad,2014,dishkiyaoon
90,woman,sad,2014,dishkiyaoon
145,woman,happy,2014,dishkiyaoon
145,man,sad,2014,dishkiyaoon
145,woman,happy,2014,dishkiyaoon
145,woman,angry,2014,dishkiyaoon
63,man,angry,2014,dishkiyaoon
49,man,sad,2014,dishkiyaoon
54,man,neutral,2014,dishkiyaoon
138,man,surprise,2014,dishkiyaoon
116,man,neutral,2014,dishkiyaoon
135,man,neutral,2014,dishkiyaoon
56,man,sad,2014,dishkiyaoon
143,man,fear,2014,dishkiyaoon
144,man,neutral,2014,dishkiyaoon
136,man,neutral,2014,dishkiyaoon
77,man,sad,2014,dishkiyaoon
146,woman,sad,2014,dishkiyaoon
141,woman,sad,2014,dishkiyaoon
24,man,neutral,2014,dishkiyaoon
137,man,surprise,2014,dishkiyaoon
48,man,sad,2014,dishkiyaoon
101,man,happy,2014,dishkiyaoon
117,man,angry,2014,dishkiyaoon
34,man,neutral,2014,dishkiyaoon
64,man,fear,2014,dishkiyaoon
23,man,neutral,2014,dishkiyaoon
75,man,neutral,2014,dishkiyaoon
25,man,neutral,2014,dishkiyaoon
