frame_number,man/woman,emotion,year,movie_name
14,woman,angry,2014,entertainment
28,man,neutral,2014,entertainment
62,woman,sad,2014,entertainment
62,man,happy,2014,entertainment
118,man,angry,2014,entertainment
118,man,neutral,2014,entertainment
15,man,angry,2014,entertainment
149,woman,happy,2014,entertainment
155,man,sad,2014,entertainment
156,man,happy,2014,entertainment
35,woman,angry,2014,entertainment
36,woman,angry,2014,entertainment
59,woman,sad,2014,entertainment
59,man,fear,2014,entertainment
150,man,neutral,2014,entertainment
68,woman,surprise,2014,entertainment
68,man,angry,2014,entertainment
121,man,happy,2014,entertainment
38,man,angry,2014,entertainment
12,man,happy,2014,entertainment
8,woman,happy,2014,entertainment
63,woman,sad,2014,entertainment
63,man,neutral,2014,entertainment
49,man,angry,2014,entertainment
49,man,angry,2014,entertainment
42,man,surprise,2014,entertainment
33,man,angry,2014,entertainment
92,man,surprise,2014,entertainment
92,man,angry,2014,entertainment
37,man,neutral,2014,entertainment
151,man,fear,2014,entertainment
151,man,happy,2014,entertainment
13,woman,happy,2014,entertainment
7,man,happy,2014,entertainment
77,woman,angry,2014,entertainment
82,woman,angry,2014,entertainment
41,man,angry,2014,entertainment
10,man,fear,2014,entertainment
81,woman,angry,2014,entertainment
119,man,neutral,2014,entertainment
119,man,neutral,2014,entertainment
50,man,fear,2014,entertainment
50,man,happy,2014,entertainment
9,woman,happy,2014,entertainment
39,man,angry,2014,entertainment
32,woman,fear,2014,entertainment
32,man,fear,2014,entertainment
157,man,happy,2014,entertainment
47,woman,sad,2014,entertainment
48,man,angry,2014,entertainment
48,man,sad,2014,entertainment
95,man,neutral,2014,entertainment
78,man,angry,2014,entertainment
34,woman,angry,2014,entertainment
43,woman,neutral,2014,entertainment
43,woman,angry,2014,entertainment
21,woman,sad,2014,entertainment
22,man,fear,2014,entertainment
6,woman,sad,2014,entertainment
152,man,neutral,2014,entertainment
124,woman,happy,2014,entertainment
64,woman,sad,2014,entertainment
64,man,neutral,2014,entertainment
5,man,neutral,2014,entertainment
79,woman,angry,2014,entertainment
23,man,happy,2014,entertainment
75,man,disgust,2014,entertainment
80,man,disgust,2014,entertainment
31,woman,happy,2014,entertainment
31,man,fear,2014,entertainment
