frame_number,man/woman,emotion,year,movie_name
85,man,angry,2014,filmistaan
111,man,happy,2014,filmistaan
88,man,sad,2014,filmistaan
30,man,neutral,2014,filmistaan
15,man,angry,2014,filmistaan
106,woman,sad,2014,filmistaan
68,man,fear,2014,filmistaan
68,man,angry,2014,filmistaan
90,woman,sad,2014,filmistaan
26,man,sad,2014,filmistaan
12,man,angry,2014,filmistaan
69,man,sad,2014,filmistaan
69,man,angry,2014,filmistaan
89,man,sad,2014,filmistaan
89,man,sad,2014,filmistaan
143,man,sad,2014,filmistaan
29,man,sad,2014,filmistaan
110,man,happy,2014,filmistaan
84,man,happy,2014,filmistaan
144,man,angry,2014,filmistaan
16,man,happy,2014,filmistaan
81,man,sad,2014,filmistaan
123,man,sad,2014,filmistaan
39,man,angry,2014,filmistaan
73,man,angry,2014,filmistaan
73,man,fear,2014,filmistaan
124,man,sad,2014,filmistaan
130,man,neutral,2014,filmistaan
112,man,happy,2014,filmistaan
25,man,neutral,2014,filmistaan
80,man,sad,2014,filmistaan
