frame_number,man/woman,emotion,year,movie_name
14,man,neutral,2014,fireflies
28,man,happy,2014,fireflies
62,woman,happy,2014,fireflies
60,woman,angry,2014,fireflies
61,woman,happy,2014,fireflies
20,man,sad,2014,fireflies
35,woman,happy,2014,fireflies
26,man,happy,2014,fireflies
53,man,neutral,2014,fireflies
63,man,sad,2014,fireflies
40,woman,happy,2014,fireflies
89,man,happy,2014,fireflies
33,woman,sad,2014,fireflies
13,man,sad,2014,fireflies
27,man,happy,2014,fireflies
16,man,neutral,2014,fireflies
17,man,sad,2014,fireflies
39,man,happy,2014,fireflies
48,man,sad,2014,fireflies
95,woman,sad,2014,fireflies
34,man,sad,2014,fireflies
21,man,neutral,2014,fireflies
22,man,sad,2014,fireflies
73,man,neutral,2014,fireflies
64,man,sad,2014,fireflies
72,man,happy,2014,fireflies
18,man,sad,2014,fireflies
25,man,neutral,2014,fireflies
