frame_number,man/woman,emotion,year,movie_name
85,woman,neutral,2014,gulaab_gang
62,woman,sad,2014,gulaab_gang
62,woman,sad,2014,gulaab_gang
132,woman,happy,2014,gulaab_gang
94,man,fear,2014,gulaab_gang
61,woman,sad,2014,gulaab_gang
61,woman,sad,2014,gulaab_gang
128,man,angry,2014,gulaab_gang
125,woman,happy,2014,gulaab_gang
76,man,happy,2014,gulaab_gang
86,woman,happy,2014,gulaab_gang
45,woman,sad,2014,gulaab_gang
104,man,angry,2014,gulaab_gang
121,man,sad,2014,gulaab_gang
121,woman,sad,2014,gulaab_gang
90,woman,sad,2014,gulaab_gang
49,man,happy,2014,gulaab_gang
42,woman,sad,2014,gulaab_gang
42,woman,neutral,2014,gulaab_gang
42,woman,sad,2014,gulaab_gang
42,woman,neutral,2014,gulaab_gang
138,man,angry,2014,gulaab_gang
89,woman,sad,2014,gulaab_gang
109,woman,happy,2014,gulaab_gang
109,woman,sad,2014,gulaab_gang
37,man,angry,2014,gulaab_gang
84,woman,neutral,2014,gulaab_gang
133,man,sad,2014,gulaab_gang
77,woman,neutral,2014,gulaab_gang
77,woman,fear,2014,gulaab_gang
46,woman,happy,2014,gulaab_gang
134,man,sad,2014,gulaab_gang
119,woman,angry,2014,gulaab_gang
113,woman,happy,2014,gulaab_gang
127,man,sad,2014,gulaab_gang
137,man,angry,2014,gulaab_gang
126,man,happy,2014,gulaab_gang
95,woman,angry,2014,gulaab_gang
101,woman,sad,2014,gulaab_gang
99,woman,happy,2014,gulaab_gang
78,woman,sad,2014,gulaab_gang
34,man,fear,2014,gulaab_gang
43,woman,neutral,2014,gulaab_gang
43,woman,neutral,2014,gulaab_gang
43,woman,neutral,2014,gulaab_gang
43,woman,neutral,2014,gulaab_gang
114,woman,happy,2014,gulaab_gang
79,woman,happy,2014,gulaab_gang
75,woman,happy,2014,gulaab_gang
139,man,happy,2014,gulaab_gang
18,woman,surprise,2014,gulaab_gang
