frame_number,man/woman,emotion,year,movie_name
85,woman,surprise,2014,gulabi_gang
98,woman,happy,2014,gulabi_gang
62,woman,sad,2014,gulabi_gang
132,man,happy,2014,gulabi_gang
94,man,angry,2014,gulabi_gang
61,woman,sad,2014,gulabi_gang
61,woman,sad,2014,gulabi_gang
44,man,sad,2014,gulabi_gang
96,man,neutral,2014,gulabi_gang
128,man,happy,2014,gulabi_gang
76,man,angry,2014,gulabi_gang
86,woman,happy,2014,gulabi_gang
45,woman,sad,2014,gulabi_gang
91,woman,sad,2014,gulabi_gang
107,man,sad,2014,gulabi_gang
90,woman,sad,2014,gulabi_gang
38,man,angry,2014,gulabi_gang
49,man,happy,2014,gulabi_gang
42,woman,neutral,2014,gulabi_gang
42,man,sad,2014,gulabi_gang
42,woman,neutral,2014,gulabi_gang
42,woman,neutral,2014,gulabi_gang
138,man,sad,2014,gulabi_gang
89,man,sad,2014,gulabi_gang
109,woman,happy,2014,gulabi_gang
109,man,sad,2014,gulabi_gang
129,man,happy,2014,gulabi_gang
37,man,sad,2014,gulabi_gang
84,woman,neutral,2014,gulabi_gang
133,man,sad,2014,gulabi_gang
77,woman,neutral,2014,gulabi_gang
77,woman,fear,2014,gulabi_gang
46,woman,happy,2014,gulabi_gang
134,man,neutral,2014,gulabi_gang
119,woman,happy,2014,gulabi_gang
127,man,sad,2014,gulabi_gang
137,man,angry,2014,gulabi_gang
126,man,happy,2014,gulabi_gang
95,man,disgust,2014,gulabi_gang
101,woman,sad,2014,gulabi_gang
99,woman,happy,2014,gulabi_gang
78,woman,sad,2014,gulabi_gang
78,man,sad,2014,gulabi_gang
34,man,angry,2014,gulabi_gang
43,woman,angry,2014,gulabi_gang
43,woman,neutral,2014,gulabi_gang
43,woman,sad,2014,gulabi_gang
43,woman,happy,2014,gulabi_gang
114,woman,happy,2014,gulabi_gang
79,woman,happy,2014,gulabi_gang
79,woman,happy,2014,gulabi_gang
75,woman,happy,2014,gulabi_gang
139,man,happy,2014,gulabi_gang
18,woman,surprise,2014,gulabi_gang
